event_id,region,event_title,main_area,unlock_requirement,reused_npc_or_map,trigger,event_steps,boss_or_fixed_encounter,trainer_or_battle_rule,reward_items,wild_ecology_change,flags_and_variables,retry_and_safety,implementation_scale,design_purpose
T-E01,トーホク,はじめての外来生態観察,501～502ばんどうろ,ゲーム開始後、ヒイラギ研究所を出る,研究員NPCを501番道路入口へ1人追加。マップ形状・既存トレーナーは無変更。,501番道路へ初めて入る,①研究員が通常とは異なる足跡を発見。②パモ・ヤヤコマ・ホシガリスのいずれかを1匹観察または捕獲。③研究所へ報告。④以後、外来生態オーバーレイを正式解禁。,パモ Lv.4／ヤヤコマ Lv.4／ホシガリス Lv.4からランダム1体。捕獲可能。,逃走・撃破でも進行。捕獲した場合だけ追加調査ポイント。,フィールドスキャナ試作機、モンスターボール×5,501・502番道路の新種追加抽選を4～7%で有効化。未達成中もイベント個体だけは出現。,FLAG_FOREIGN_ECOLOGY_INTRO、VAR_FOREIGN_ECOLOGY_RANK=1,イベント個体を倒しても研究員へ再度話しかければ復活。手持ち・PC満杯時は戦闘開始不可。,小,本編を改変せず、序盤から新ポケモンが存在する理由と操作説明を与える。
T-E02,トーホク,しおのけっしょう崩落,ちえのどうくつB1F,アヤメジム挑戦前後＋T-E01完了,既存山男NPCの会話分岐と、行き止まり壁の前に岩オブジェクト1個を追加。,崩れた壁を調べる,①コジオの群れが落石を止めている。②野生3連戦を行う。③最後のコジオを捕獲または鎮める。④奥の小部屋で進化道具を回収。,コジオ Lv.8、タンドン Lv.9、モグリュー Lv.9。最後のコジオのみ捕獲可能。,3連戦。各戦後にHP回復は行わないが、敗北時は入口へ戻りイベント進行は保持。,しおのけっしょう、つながりのヒモの欠片,ちえのどうくつでコジオ・タンドン・モグリューが追加抽選。殿堂入り後はメレシーをDexNav解禁。,FLAG_CHIE_SALT_COLLAPSE、VAR_CHIE_RESCUE_RESULT,最後の固定個体は捕獲まで再出現。道具欄満杯ならPCアイテム倉庫へ送付。,小,洞窟の新種を早期に見せ、追加進化道具の導入にもつなげる。
T-E03,トーホク,真夜中のお茶会,こころのやかた2F・食堂,バッジ1個＋夜、または生態チケットで夜を固定,既存食堂へティーカップオブジェクトとNPC少女1人を追加。,21:00～04:59に空のカップを調べる,①ヤバチャが食器へ紛れ込む。②正しいカップを3回選ぶ。③ヒトモシが灯りをつけ、ボチが奥の部屋へ案内。④固定ヤバチャ戦。,ヤバチャ Lv.14（3%で真作相当フラグ）、ボチ Lv.13は観察のみ。,選択パズル。間違えても入口へ戻されるだけで失敗扱いにしない。,われたポット、のろいのおふだ、調査ポイント,夜のこころのやかたでヤバチャ・ヒトモシ・ボチを追加。殿堂入り後はポットデス・ハカドッグを1%枠。,FLAG_MIDNIGHT_TEA、VAR_SINISTEA_AUTHENTIC,固定ヤバチャは捕獲まで復活。RTC未設定時は研究所で夜を選択可能。,小,夜限定種を、リアル時刻待ちで詰ませず印象的に導入する。
T-E04,トーホク,はぐれたナミイルカ,507ばんすいどう・浅瀬,バッジ2個＋なみのり前でも浅瀬イベントは実行可,浅瀬にナミイルカのシンボルと釣り人NPCの会話分岐を追加。,泣き声のする浅瀬へ近づく,①弱ったナミイルカへきのみを渡す。②カイデン2体から守るダブルバトル。③ナミイルカを海へ返すか仲間にするか選択。④後者なら固定戦。,カイデン Lv.21×2／ナミイルカ Lv.20。,カイデン戦はNPC研究員とのマルチバトル。ナミイルカ戦は通常捕獲。,ヒーローのあかしの欠片、ダイブボール×3,507～509水道でナミイルカ・カイデン・ウミディグダ・サシカマスを解禁。,FLAG_FINIZEN_RESCUE、VAR_FINIZEN_CHOICE,海へ返した場合も後日同地点で再会して捕獲可。撃破時はマップ再入場で復活。,中,沿岸の新種をまとめて導入し、イルカマン進化イベントの前段にする。
T-E05,トーホク,迷い込んだ海流,かいていトンネル・水路,シオウジム前後＋いいつりざお,既存水路に漂流物オブジェクト3個とレンジャーNPCを追加。,中央の逆流地点を調べる,①漂流物から地域外のウロコを採取。②水路3地点でスキャナを使用。③シズクモ・ウデッポウ・クズモーの出現源を特定。④最深部で暴走オトスパスを鎮静。,オトスパス Lv.28固定。捕獲可能。,水中を想定した雨固定バトル。交代制限は設けない。,きれいなウロコ、ねばりのかぎづめ,かいていトンネルと508番道路の水・釣りオーバーレイを増加。クズモー／ウデッポウはA/B日替わり。,FLAG_UNDERSEA_CURRENT、VAR_COAST_ROTATION,固定戦は捕獲まで復活。雨固定解除処理を戦闘終了全分岐に入れる。,中,釣り・水上・日替わりローテーションを一つの調査にまとめる。
T-E06,トーホク,森のりんご園,ハクジのもり・北西小区画,バッジ5個＋いあいぎり,既存木の先へ果樹オブジェクト6個と農家NPCを追加。新規大型マップは不要。,落ちたりんごを3個集める,①カジッチュの食害と思われる痕跡を調べる。②実際は弱った群れだと判明。③肥料素材を集める。④カジッチュを1体保護。⑤後日りんごの種類を選べる。,カジッチュ Lv.43固定。捕獲または受取式。,戦闘を避ける選択肢あり。捕獲しない場合はタマゴで受取。,すっぱいりんご／あまーいりんごの選択、後日両方購入可,ハクジのもりでカジッチュ・アブリー・カリキリ・ネマシュ・ノノクラゲを解禁。,FLAG_HAKUJI_ORCHARD、VAR_APPLE_STOCK,選ばなかったりんごは調査ポイント交換所へ追加。カジッチュは取り逃しなし。,小,追加進化道具と森林生態を既存のいあいぎり寄り道へ自然に統合する。
T-E07,トーホク,ふたつの鎧,ひのしま・鍛冶場小部屋,バッジ4個＋ひのしま到達,既存洞窟の空き出口へ鍛冶場小部屋1つを接続。職人NPCはオウニ工房と共用。,カルボウを手持ちに入れて炉を調べる,①カルボウ固定個体を保護。②島内で火種3個を採取。③イワイノヨロイかノロイノヨロイを製作。④殿堂入り後は反復製作。,カルボウ Lv.35固定。選択後は職人とのダブルバトル演習。,晴れ固定。相手はグレンアルマ＋ソウブレイズ。,選択した鎧1個、もう一方の設計図,ひのしまでカルボウ・ヤトウモリ・ヤクデ・カプサイジを解禁。,FLAG_TWO_ARMORS、VAR_ARMOR_RECIPE,鎧選択は永久排他にしない。素材再収集で両方作成可。,中,原作の進化条件をGBA上で明快な選択イベントへ変換する。
T-E08,トーホク,島全域停電,かみなりのしま・発電設備,バッジ4個＋かみなりのしま到達,既存発電設備へ端末3台と技師NPCを追加。,島へ入った際に停電演出,①ズピカが配電盤へ入り込む。②バチュルの糸を除去。③ロトムが発電機へ憑依。④3端末を正しい順で復旧。⑤ロトム固定戦。,ロトム Lv.39固定。途中にズピカ・エレズンのトレーナー戦。,エレキフィールド固定。ロトムは捕獲可能。,エレキブースター、ロトムカタログ機能、テラピースでんき,かみなりのしまでズピカ・バチュル・シビシラス・トゲデマル・エレズンを解禁。,FLAG_THUNDER_BLACKOUT、VAR_POWER_TERMINALS,端末順を誤っても初期化可能。ロトム撃破時は技師NPCで復活。,中,無機物・電気系をまとめ、後のカントー発電所事件と連動させる。
T-E09,トーホク,雪原の育児場,こおりのしま・雪原区画,バッジ4個＋こおりのしま到達,既存雪原へ巣穴オブジェクト3個とレンジャーNPCを追加。,ユキハミの巣を調べる,①巣穴の温度を測る。②アルクジラ親子を凍結湖から誘導。③コオリッポの群れを避ける。④ユキハミを1体保護。,ユキハミ Lv.34固定。アルクジラは非戦闘シンボル。,戦闘よりフィールド移動中心。最後のみ捕獲戦。,こおりのいし、あつぞこブーツ,こおりのしまでユキハミ・アルクジラ・クマシュン・カチコール・コオリッポを解禁。,FLAG_ICE_NURSERY、VAR_NURSERY_HEAT,誘導失敗は区画入口から再試行。固定個体は捕獲まで復活。,中,氷タイプを単なる洞窟枠でなく、生態保護イベントとして見せる。
T-E10,トーホク,迷子のセビエ,ユキユキやま・山頂手前,バッジ6個＋フィールドスキャナ,雪崩跡へ足跡イベントと小さな横穴を追加。,DexNavで3回連続して足跡を追う,①セビエの足跡を追跡。②オトシドリから落とされた食料を回収。③親個体の痕跡を見つける。④セビエ固定戦。,セビエ Lv.46固定。個体値3V保証、隠れ特性なし。,雪固定。オトシドリ Lv.48との前哨戦。,つららのプレート、ドラゴンエールの技教え解禁,ユキユキやまDexNavへセビエを1～2%で追加。通常歩行では出ない。,FLAG_LOST_FRIGIBAX、VAR_FRIGIBAX_TRACKS,600族のため1体目は固定。野生解禁後も低確率。撃破時復活。,中,強力な600族を早すぎず、探索報酬として提示する。
