vega_id,species_key,display_name,legacy_method,legacy_route,legacy_physical_status,required_rom_read,pass_condition,fallback_event_key,fallback_host_key,shared_capture_key,release_policy,notes
121,SPECIES_KEY_VEGA_121,スミロドン,FOSSIL_RESTORE,キバのカセキをシオリム研究所で復元,PHYSICAL_COORD_AUDIT_REQUIRED,対象map header→event header→object/bg/coord script pointer→script control flow→species operand→flag writesを抽出,natural new gameから入口到達、正規Species key、失敗時flag未commit、捕獲/受取後save/dex反映,EVENT_FOSSIL_RESTORE_VEGA_0121,HOST_FOSSIL_LAB,SHARED_CAPTURE_KEY_VEGA_0121,Tohoku行は監査完了までemit禁止。Kanto fallbackはexact hostのみemit可。,既存Vegaの世界観・台詞・順序を優先して保持。
122,SPECIES_KEY_VEGA_122,マカドゥス,EVOLUTION,スミロドンからLv.40で進化,PHYSICAL_COORD_AUDIT_REQUIRED,対象map header→event header→object/bg/coord script pointer→script control flow→species operand→flag writesを抽出,natural new gameから入口到達、正規Species key、失敗時flag未commit、捕獲/受取後save/dex反映,EVENT_VEGA_ARCHIVE_0122,HOST_FOSSIL_LAB,SHARED_CAPTURE_KEY_VEGA_0122,Tohoku行は監査完了までemit禁止。Kanto fallbackはexact hostのみemit可。,既存Vegaの世界観・台詞・順序を優先して保持。
142,SPECIES_KEY_VEGA_142,ライラプス,FIXED_CAPTURE,ネメア後、海底トンネル1Fの固定個体,PHYSICAL_COORD_AUDIT_REQUIRED,対象map header→event header→object/bg/coord script pointer→script control flow→species operand→flag writesを抽出,natural new gameから入口到達、正規Species key、失敗時flag未commit、捕獲/受取後save/dex反映,EVENT_VEGA_ARCHIVE_0142,HOST_LEGACY_ARCHIVE,SHARED_CAPTURE_KEY_VEGA_0142,Tohoku行は監査完了までemit禁止。Kanto fallbackはexact hostのみemit可。,既存Vegaの世界観・台詞・順序を優先して保持。
143,SPECIES_KEY_VEGA_143,ガニメデ,FIXED_CAPTURE,ネメア後、ユキユキ山1Fの固定個体,PHYSICAL_COORD_AUDIT_REQUIRED,対象map header→event header→object/bg/coord script pointer→script control flow→species operand→flag writesを抽出,natural new gameから入口到達、正規Species key、失敗時flag未commit、捕獲/受取後save/dex反映,EVENT_VEGA_ARCHIVE_0143,HOST_LEGACY_ARCHIVE,SHARED_CAPTURE_KEY_VEGA_0143,Tohoku行は監査完了までemit禁止。Kanto fallbackはexact hostのみemit可。,既存Vegaの世界観・台詞・順序を優先して保持。
144,SPECIES_KEY_VEGA_144,ネメア,FIXED_CAPTURE,D・H団クリア後、ニューアイランド城3F,PHYSICAL_COORD_AUDIT_REQUIRED,対象map header→event header→object/bg/coord script pointer→script control flow→species operand→flag writesを抽出,natural new gameから入口到達、正規Species key、失敗時flag未commit、捕獲/受取後save/dex反映,EVENT_VEGA_ARCHIVE_0144,HOST_LEGACY_ARCHIVE,SHARED_CAPTURE_KEY_VEGA_0144,Tohoku行は監査完了までemit禁止。Kanto fallbackはexact hostのみemit可。,既存Vegaの世界観・台詞・順序を優先して保持。
388,SPECIES_KEY_VEGA_388,ティオルス,FOSSIL_RESTORE,つばさのカセキを復元,PHYSICAL_COORD_AUDIT_REQUIRED,対象map header→event header→object/bg/coord script pointer→script control flow→species operand→flag writesを抽出,natural new gameから入口到達、正規Species key、失敗時flag未commit、捕獲/受取後save/dex反映,EVENT_FOSSIL_RESTORE_VEGA_0388,HOST_FOSSIL_LAB,SHARED_CAPTURE_KEY_VEGA_0388,Tohoku行は監査完了までemit禁止。Kanto fallbackはexact hostのみemit可。,既存Vegaの世界観・台詞・順序を優先して保持。
389,SPECIES_KEY_VEGA_389,プテリクス,EVOLUTION,ティオルスからLv.40で進化,PHYSICAL_COORD_AUDIT_REQUIRED,対象map header→event header→object/bg/coord script pointer→script control flow→species operand→flag writesを抽出,natural new gameから入口到達、正規Species key、失敗時flag未commit、捕獲/受取後save/dex反映,EVENT_VEGA_ARCHIVE_0389,HOST_FOSSIL_LAB,SHARED_CAPTURE_KEY_VEGA_0389,Tohoku行は監査完了までemit禁止。Kanto fallbackはexact hostのみemit可。,既存Vegaの世界観・台詞・順序を優先して保持。
390,SPECIES_KEY_VEGA_390,ティラノス,FOSSIL_RESTORE,くらやみのカセキを復元,PHYSICAL_COORD_AUDIT_REQUIRED,対象map header→event header→object/bg/coord script pointer→script control flow→species operand→flag writesを抽出,natural new gameから入口到達、正規Species key、失敗時flag未commit、捕獲/受取後save/dex反映,EVENT_FOSSIL_RESTORE_VEGA_0390,HOST_FOSSIL_LAB,SHARED_CAPTURE_KEY_VEGA_0390,Tohoku行は監査完了までemit禁止。Kanto fallbackはexact hostのみemit可。,既存Vegaの世界観・台詞・順序を優先して保持。
400,SPECIES_KEY_VEGA_400,ロイツァー,FIXED_CAPTURE,殿堂入り後、スフィア遺跡B4F,PHYSICAL_COORD_AUDIT_REQUIRED,対象map header→event header→object/bg/coord script pointer→script control flow→species operand→flag writesを抽出,natural new gameから入口到達、正規Species key、失敗時flag未commit、捕獲/受取後save/dex反映,EVENT_VEGA_ARCHIVE_0400,HOST_LEGACY_ARCHIVE,SHARED_CAPTURE_KEY_VEGA_0400,Tohoku行は監査完了までemit禁止。Kanto fallbackはexact hostのみemit可。,既存Vegaの世界観・台詞・順序を優先して保持。
401,SPECIES_KEY_VEGA_401,ガタノア,FIXED_CAPTURE,殿堂入り後、スフィア遺跡裏口B3F,PHYSICAL_COORD_AUDIT_REQUIRED,対象map header→event header→object/bg/coord script pointer→script control flow→species operand→flag writesを抽出,natural new gameから入口到達、正規Species key、失敗時flag未commit、捕獲/受取後save/dex反映,EVENT_VEGA_ARCHIVE_0401,HOST_LEGACY_ARCHIVE,SHARED_CAPTURE_KEY_VEGA_0401,Tohoku行は監査完了までemit禁止。Kanto fallbackはexact hostのみemit可。,既存Vegaの世界観・台詞・順序を優先して保持。
