item_plan_id,original_item_or_logic,replacement,location,acquisition_condition,new_effect,implementation_note
K-ITEM01,オーキドのおとどけもの,こくさいせいたいデータ,マサラ・オーキド研究所,カントー入場時に自動登録,図鑑・生態オーバーレイの解禁キー。バッグ消費なし,専用フラグ推奨
K-ITEM02,タウンマップ,カントーせいたいマップ,ライバルの家,話しかけて登録,大量発生、時間帯、DexNav候補を地図画面に表示,既存マップUIへ追加
K-ITEM03,自転車引換券,ボードかくちょうパーツ,クチバだいすきクラブ,長話イベント報酬,ダブルボードの段差・高速移動機能を拡張,ベガ移動処理と競合監査
K-ITEM04,ひでんマシン01 いあいぎり,つながりのヒモ,サント・アンヌ号優勝,船上トーナメント優勝,通信進化代替。反復入手はBP交換,重要アイテムではなく消費道具
K-ITEM05,シルフスコープ,フィールドスキャナ改,ポケモンタワー3F,霊的調査開始時,夜間生態、隠しシンボル、異常個体を可視化,ベガ側スキャナ所持なら強化扱い
K-ITEM06,ポケモンのふえ,いにしえのメロディ,ポケモンタワー完了,鎮魂灯イベント報酬,眠る固定ポケモンの任意再戦、音反応進化の補助,バッグ表示は重要アイテム
K-ITEM07,ロケット団エレベータのカギ,きかいしつアクセスキー,アジト跡B2F,救出イベント中に取得,人工生態区画とアイテム製造室へ進入,イベント後は所持不要
K-ITEM08,コインケース,ファクトリーパス,タマムシ施設受付,初回登録,BP、レンタル、レイド素材の共通残高を表示,コイン残高欄の再利用可
K-ITEM09,カードキー,シルフにんしょうカード,シルフ1F,異常事件受付時,ワープ階の段階解禁。原作扉フラグと分離,専用変数で階層管理
K-ITEM10,マスターボール,プロトボール設計図,シルフ社長,異常事件完了,マスターボール現物は1個維持し、追加ボール製造を解禁,量産不可
K-ITEM11,きんのいれば,サファリちょうさきろく,サファリ西区画,地面アイテムとして取得,国際サファリ北区画と日替わり生態を解禁,消費せず園長へ提出
K-ITEM12,ひでんマシン03 なみのり,とくせいカプセル,サファリ秘密の家,到達報酬,探索報酬を現代育成道具へ変更,反復入手はBP
K-ITEM13,ひみつのカギ,けんきゅうじょアクセスキー,ポケモンやしきB1F,遺伝子記録と同時取得,グレン研究所の隔離室・化石全種を解禁,ジム扉には使わない
K-ITEM14,ふねのチケット,カントーちょうさパス,ヒイラギ研究所,初回殿堂入り＋全国図鑑,トーホク・クチバ間の常時往復,重要アイテム
K-ITEM15,ふるびたかいず,ふたつのちほうのかいず,カントーリーグ制覇,オーキドとヒイラギの共同研究,ハナダ洞窟共鳴区画とスフィア遺跡裏口を接続,最終イベントキー
K-ITEM16,ルビー,かこのコア,ニビ・月隕石イベント,化石調査完了,過去パラドックス裂け目の安定化,片方だけでは起動不可
K-ITEM17,サファイア,みらいのコア,シルフ異常事件,デジタル汚染完了,未来パラドックス裂け目の安定化,かこのコアと組で使用
K-ITEM18,おちゃ,カントーつうこうしょう,クチバ港受付,カントー入場時,ヤマブキゲートを自由通行。飲料アイテムとは分離,専用フラグ推奨
K-ITEM19,シルフスコープ取得後の幽霊フラグ,ちんこんのあかし,ポケモンタワー7F,鎮魂イベント完了,ゴースト系隠れ特性、再戦受付、夜間大量発生を解禁,所持品ではなく証フラグ
K-ITEM20,カセキ二択,化石研究ライセンス,ニビ博物館,合同展示完了,全化石を順次復元可能。二択・取り逃しを廃止,研究ランクで在庫追加
K-ITEM21,格闘道場の二択ポケモン,どうじょうのあかし,ヤマブキ格闘道場,全国格闘チャレンジ完了,つながりのヒモ、するどいツメ、ダクマ試練を解禁,ポケモン二択は廃止
K-ITEM22,わざマシン報酬（各ジム）,認定章＋現代技マシン＋進化素材,各カントージム,ジム勝利,認定章はベガバッジと別管理。タイプ別素材で新種育成へ接続,専用フラグ8個
K-ITEM23,カビゴン起床用フラグ,ねむりのかおり,タマムシ温室,植物調査3件,眠る固定ポケモンの日替わり変更、再戦起動,消費しない
K-ITEM24,殿堂入り後ナナシマ用パス,せいたいほごくパス,セキチク園長,認定章5個＋サファリ調査,ナナシマを将来実装する場合の拡張入口,V2本体では予約ID
