dialogue_key,event_key,speaker_actor_key,usage,text,next_step_key,notes
DIALOGUE_KEY_FACILITY_PORT_WARNING_FLAVOR,EVENT_KEY_FACILITY_PORT_WARNING,ACTOR_KEY_SYSTEM,FLAVOR,このさきは\nレベル68いじょう。,STEP_KEY_FACILITY_PORT_WARNING_END,repeatable短文
DIALOGUE_KEY_MAIN_PORT_ARRIVAL_INTRO,EVENT_KEY_MAIN_PORT_ARRIVAL,ACTOR_KEY_NARRATION,INTRO,しおの においがする。\nここが カントーだ。,STEP_KEY_MAIN_PORT_ARRIVAL_COMPLETE,初回導入。短文のみ
DIALOGUE_KEY_MAIN_PORT_ARRIVAL_COMPLETE,EVENT_KEY_MAIN_PORT_ARRIVAL,ACTOR_KEY_NARRATION,COMPLETE,むりは いらない。\nかえるみちも ある。,STEP_KEY_MAIN_PORT_ARRIVAL_SET_DONE,成功確定直前の完了会話
DIALOGUE_KEY_MAIN_PORT_ARRIVAL_REVISIT,EVENT_KEY_MAIN_PORT_ARRIVAL,ACTOR_KEY_NARRATION,REVISIT,クチバの みなとだ。\nえんせいは じゆう。,STEP_KEY_MAIN_PORT_ARRIVAL_END,完了後再訪会話
DIALOGUE_KEY_MAIN_PORT_REGISTRATION_INTRO,EVENT_KEY_MAIN_PORT_REGISTRATION,ACTOR_KEY_EVENT_MINAMI,INTRO,せいたいと せんじゅつを\nいっしょに しらべる。,STEP_KEY_MAIN_PORT_REGISTRATION_PROMPT,初回説明
DIALOGUE_KEY_MAIN_PORT_REGISTRATION_PROMPT,EVENT_KEY_MAIN_PORT_REGISTRATION,ACTOR_KEY_EVENT_MINAMI,PROMPT,にんてい きろくへ\nさんか しますか？,STEP_KEY_MAIN_PORT_REGISTRATION_ACCEPT,YES_NO表示文
DIALOGUE_KEY_MAIN_PORT_REGISTRATION_ACCEPT,EVENT_KEY_MAIN_PORT_REGISTRATION,ACTOR_KEY_EVENT_MINAMI,ACCEPT,さんかを とうろく。\nまずは ニビへ。,STEP_KEY_MAIN_PORT_REGISTRATION_SET_DONE,受諾確認
DIALOGUE_KEY_MAIN_PORT_REGISTRATION_DECLINE,EVENT_KEY_MAIN_PORT_REGISTRATION,ACTOR_KEY_EVENT_MINAMI,DECLINE,さんかは じゆう。\nいつでも どうぞ。,STEP_KEY_MAIN_PORT_REGISTRATION_END,辞退時
DIALOGUE_KEY_MAIN_PORT_REGISTRATION_REVISIT,EVENT_KEY_MAIN_PORT_REGISTRATION,ACTOR_KEY_EVENT_MINAMI,REVISIT,きろくは ゆうこう。\nじぶんの ペースで。,STEP_KEY_MAIN_PORT_REGISTRATION_END,完了後
DIALOGUE_KEY_FACILITY_PORT_HEAL_PROMPT,EVENT_KEY_FACILITY_PORT_HEAL,ACTOR_KEY_EVENT_MINAMI,PROMPT,てもちを\nかいふく しますか？,STEP_KEY_FACILITY_PORT_HEAL_HEAL,無料回復確認
DIALOGUE_KEY_FACILITY_PORT_HEAL_COMPLETE,EVENT_KEY_FACILITY_PORT_HEAL,ACTOR_KEY_EVENT_MINAMI,COMPLETE,かいふく かんりょう。\nむりは しないで。,STEP_KEY_FACILITY_PORT_HEAL_END,回復後
DIALOGUE_KEY_FACILITY_PORT_HEAL_DECLINE,EVENT_KEY_FACILITY_PORT_HEAL,ACTOR_KEY_EVENT_MINAMI,DECLINE,わかった。\nきをつけて。,STEP_KEY_FACILITY_PORT_HEAL_END,辞退時
DIALOGUE_KEY_FACILITY_PORT_RETURN_PROMPT,EVENT_KEY_FACILITY_PORT_RETURN,ACTOR_KEY_SYSTEM,PROMPT,あんぜんな かえりみちへ\nもどりますか？,STEP_KEY_FACILITY_PORT_RETURN_WARP,無料帰還確認
DIALOGUE_KEY_FACILITY_PORT_RETURN_DECLINE,EVENT_KEY_FACILITY_PORT_RETURN,ACTOR_KEY_SYSTEM,DECLINE,このまま\nえんせいを つづける。,STEP_KEY_FACILITY_PORT_RETURN_END,辞退時
DIALOGUE_KEY_FACILITY_FACTORY_GUIDE_INTRO,EVENT_KEY_FACILITY_FACTORY_GUIDE,ACTOR_KEY_EVENT_MINAMI,INTRO,かりた なかまで\nくみたてを ためせる。,STEP_KEY_FACILITY_FACTORY_GUIDE_PROMPT,service初回説明
DIALOGUE_KEY_FACILITY_FACTORY_GUIDE_PROMPT,EVENT_KEY_FACILITY_FACTORY_GUIDE,ACTOR_KEY_EVENT_MINAMI,PROMPT,トライアルへ\nはいりますか？,STEP_KEY_FACILITY_FACTORY_GUIDE_SET_DONE,初回service確認
DIALOGUE_KEY_FACILITY_FACTORY_GUIDE_REVISIT,EVENT_KEY_FACILITY_FACTORY_GUIDE,ACTOR_KEY_EVENT_MINAMI,REVISIT,トライアルを\nはじめますか？,STEP_KEY_FACILITY_FACTORY_GUIDE_OPEN,再訪service確認
DIALOGUE_KEY_FACILITY_FACTORY_GUIDE_DECLINE,EVENT_KEY_FACILITY_FACTORY_GUIDE,ACTOR_KEY_EVENT_MINAMI,DECLINE,けんがく だけでも\nだいじょうぶ。,STEP_KEY_FACILITY_FACTORY_GUIDE_END,service辞退
DIALOGUE_KEY_FLAVOR_SSANNE_EXCHANGE_INTRO,EVENT_KEY_FLAVOR_SSANNE_EXCHANGE,ACTOR_KEY_EVENT_SHIO,INTRO,トウホクの どうぐは\nかぜに つよいね。,STEP_KEY_FLAVOR_SSANNE_EXCHANGE_COMPLETE,初回導入。短文のみ
DIALOGUE_KEY_FLAVOR_SSANNE_EXCHANGE_COMPLETE,EVENT_KEY_FLAVOR_SSANNE_EXCHANGE,ACTOR_KEY_EVENT_SHIO,COMPLETE,カントーの しおにも\nよく なじみそうだ。,STEP_KEY_FLAVOR_SSANNE_EXCHANGE_SET_DONE,成功確定直前の完了会話
DIALOGUE_KEY_FLAVOR_SSANNE_EXCHANGE_REVISIT,EVENT_KEY_FLAVOR_SSANNE_EXCHANGE,ACTOR_KEY_EVENT_SHIO,REVISIT,ふたつの ちほうで\nくふうが まざる。,STEP_KEY_FLAVOR_SSANNE_EXCHANGE_END,完了後再訪会話
DIALOGUE_KEY_FLAVOR_ROUTE6_TIDE_INTRO,EVENT_KEY_FLAVOR_ROUTE6_TIDE,ACTOR_KEY_NARRATION,INTRO,みずべの あしあとが\nみなとへ つづく。,STEP_KEY_FLAVOR_ROUTE6_TIDE_COMPLETE,初回導入。短文のみ
DIALOGUE_KEY_FLAVOR_ROUTE6_TIDE_COMPLETE,EVENT_KEY_FLAVOR_ROUTE6_TIDE,ACTOR_KEY_NARRATION,COMPLETE,そとから きた いのちも\nここで くらしている。,STEP_KEY_FLAVOR_ROUTE6_TIDE_SET_DONE,成功確定直前の完了会話
DIALOGUE_KEY_FLAVOR_ROUTE6_TIDE_REVISIT,EVENT_KEY_FLAVOR_ROUTE6_TIDE,ACTOR_KEY_NARRATION,REVISIT,しおが かわっても\nあしあとは のこる。,STEP_KEY_FLAVOR_ROUTE6_TIDE_END,完了後再訪会話
DIALOGUE_KEY_CERT_3_VERMILION_INTRO,EVENT_KEY_CERT_3_VERMILION,ACTOR_KEY_SYSTEM,INTRO,だい3にんてい。\nしおかぜの せんじゅつ。,STEP_KEY_CERT_3_VERMILION_PROMPT,認定テーマ提示
DIALOGUE_KEY_CERT_3_VERMILION_PROMPT,EVENT_KEY_CERT_3_VERMILION,ACTOR_KEY_SYSTEM,PROMPT,きろくせんを\nはじめますか？,STEP_KEY_CERT_3_VERMILION_BATTLE,認定戦開始確認
DIALOGUE_KEY_CERT_3_VERMILION_WIN,EVENT_KEY_CERT_3_VERMILION,ACTOR_KEY_SYSTEM,COMPLETE,しょうりを かくにん。\nだい3しょう とうろく。,STEP_KEY_CERT_3_VERMILION_SET_DONE,勝利後登録
DIALOGUE_KEY_CERT_3_VERMILION_SYNC,EVENT_KEY_CERT_3_VERMILION,ACTOR_KEY_SYSTEM,COMPLETE,しょうりずみを かくにん。\nだい3しょう とうろく。,STEP_KEY_CERT_3_VERMILION_SET_DONE,既存defeat済み同期
