national_no,name,identifier,generation,types,family,stage,baseline_source,audit_class,intended_role,level_up_additions,level_up_retiming,level_up_removals_or_reassignment,tm_additions,tutor_additions,egg_move_additions,signature_move_policy,strong_move_gate,wild_capture_moveset_policy,vega_existing_status,review_confidence,implementation_note
1,フシギダネ,bulbasaur,1,くさ／どく,フシギダネ → フシギソウ → フシギバナ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊寄り,メガドレイン / やどりぎのタネ / アシッドボム / どくどく,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,くさむすび / ベノムショック,グラススライダー / ダストシュート,こうごうせい / どくびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑152）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
2,フシギソウ,ivysaur,1,くさ／どく,フシギダネ → フシギソウ → フシギバナ,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊寄り,ギガドレイン / やどりぎのタネ / ヘドロばくだん / どくどく,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,くさむすび / ベノムショック,グラススライダー / ダストシュート,こうごうせい / どくびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑153）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
3,フシギバナ,venusaur,1,くさ／どく,フシギダネ → フシギソウ → フシギバナ,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊寄り,はなふぶき / エナジーボール / やどりぎのタネ / ヘドロウェーブ,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,くさむすび / ベノムショック,グラススライダー / ダストシュート,こうごうせい / どくびし,はなふぶきを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑154）,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
4,ヒトカゲ,charmander,1,ほのお,ヒトカゲ → リザード → リザードン,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊寄り,ひのこ / おにび,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,かえんほうしゃ,ねっぷう,にほんばれ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑155）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
5,リザード,charmeleon,1,ほのお,ヒトカゲ → リザード → リザードン,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,特殊寄り,かえんほうしゃ / おにび,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,かえんほうしゃ,ねっぷう,にほんばれ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑156）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
6,リザードン,charizard,1,ほのお／ひこう,ヒトカゲ → リザード → リザードン,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,両刀・可変,れんごく / ニトロチャージ / かえんほうしゃ / おにび,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,かえんほうしゃ / アクロバット,ねっぷう / おいかぜ,にほんばれ / はねやすめ,れんごくを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑157）,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
7,ゼニガメ,squirtle,1,みず,ゼニガメ → カメール → カメックス,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,両刀・可変,アクアジェット / みずのはどう,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,アクアブレイク,クイックターン,アクアリング,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑158）,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
8,カメール,wartortle,1,みず,ゼニガメ → カメール → カメックス,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,両刀・可変,アクアブレイク / なみのり,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,アクアブレイク,クイックターン,アクアリング,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑159）,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
9,カメックス,blastoise,1,みず,ゼニガメ → カメール → カメックス,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,ベガ既存表保護＋選択的現代化,両刀・可変,からをやぶる（殿堂入り後） / アクアブレイク / なみのり / あまごい,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,ベガ既存の独自技・攻略導線を保持。無関係な高火力サブウェポン、NPC専用の違法技、早期の積み技だけをTM／教え技へ移す。,アクアブレイク,クイックターン,アクアリング,からをやぶる（殿堂入り後）を進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,殿堂入り後の思い出し／教え技。序盤のレベル技には置かない,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,既存（トーホク図鑑160）,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
10,キャタピー,caterpie,1,むし,キャタピー → トランセル → バタフリー,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理寄り,むしくい / ねばねばネット,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,とんぼがえり,むしくい,いとをはく,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
11,トランセル,metapod,1,むし,キャタピー → トランセル → バタフリー,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理寄り,シザークロス / ねばねばネット,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,とんぼがえり,むしくい,いとをはく,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
12,バタフリー,butterfree,1,むし／ひこう,キャタピー → トランセル → バタフリー,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,特殊アタッカー,かふんだんご / ねばねばネット / ぼうふう / おいかぜ,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,とんぼがえり / アクロバット,むしくい / おいかぜ,いとをはく / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
13,ビードル,weedle,1,むし／どく,ビードル → コクーン → スピアー,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,現代化重点監査,物理寄り,むしくい / ねばねばネット / どくばり / どくどく,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,とんぼがえり / ベノムショック,むしくい / ダストシュート,いとをはく / どくびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
