battle_id,phase,category,trainer_name,location,battle_format,active_party_size,average_level,ace_level,ai_rank,gimmick_type,gimmick_trigger,trainer_items,reward,unlock_condition,source_url,design_note,difficulty
TPL_S1_BUG,序盤・アヤメ前,一般トレーナーテンプレート,むしとりしょうねん,ハクジのもり,シングル,3,5.67,7,1,なし,,キズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,ジム前に虫技と能力低下を予告する。,高難度標準・一般
TPL_S1_CAMPER,序盤・アヤメ前,一般トレーナーテンプレート,キャンプボーイ,ハクジのもり外周,シングル,2,6.5,7,1,なし,,なし,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,小さな積み技の危険を示す。,高難度標準・一般
TPL_S1_LASS,序盤・アヤメ前,一般トレーナーテンプレート,ミニスカート,501～503番道路,シングル,2,5.5,6,1,なし,,なし,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,新種を低種族値の基礎形から見せる。,高難度標準・一般
TPL_S1_YOUNGSTER,序盤・アヤメ前,一般トレーナーテンプレート,たんぱんこぞう,501～503番道路,シングル,2,5.5,6,1,なし,,なし,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,序盤の相性と命中低下を教える。,高難度標準・一般
GYM01_AMANA,本編・1個目,ジムリーダー,アマナ,アヤメシティジム,シングル,4,13.5,15,2,なし,,キズぐすり×1,エルナトバッジ／わざマシン15（シグナルビーム）,通常進行,https://w.atwiki.jp/altair1/pages/40.html,原作のクヌギダマ・ダンゴロウ・ツボツボを維持し、タマンチュラを追加。初回ジムは通常戦の基礎を教えるため公式ギミックなし。,高難度標準
TPL_S2_DH_GRUNT,1～2個目,一般トレーナーテンプレート,D・Hだんのしたっぱ,かいていトンネル入口,シングル,3,18.0,19,2,なし,,キズぐすり×1,賞金やや高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,D・H団の人工・機械系統を早期から統一。,高難度標準・一般
TPL_S2_FISHER,1～2個目,一般トレーナーテンプレート,つりびと,507番水道沿岸,シングル,3,16.0,18,1,なし,,なし,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,水単一ではなく水地面を混ぜ、電気連打を防ぐ。,高難度標準・一般
TPL_S2_HIKER,1～2個目,一般トレーナーテンプレート,やまおとこ,ちえのどうくつ前半,シングル,3,17.0,18,2,なし,,キズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,頑丈対策と低速格闘を教える。,高難度標準・一般
TPL_S2_PICNICKER,1～2個目,一般トレーナーテンプレート,ピクニックガール,504～506番道路,シングル,3,17.0,18,2,なし,,キズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,状態異常と特殊攻撃の基礎。,高難度標準・一般
GYM02_NAGINATA,本編・2個目,ジムリーダー,ナギナタ,ミルシティジム,シングル,4,23.5,25,3,Zワザ,ダグトリオが場に出て、Z技で撃破可能またはHP50%以下,いいキズぐすり×1,アルネブバッジ／わざマシン37（どろばくだん）,アヤメジム後にZパワー試作リングを入手,https://w.atwiki.jp/altair1/pages/41.html,原作3体を維持しモグリューを追加。せんせいのツメを廃止し、最初の公式ギミックとして予告付きのじめんZを採用。,高難度標準
TPL_S3_ACE,2～3個目,一般トレーナーテンプレート,エリートトレーナー,シオウ郊外,シングル,3,26.33,28,3,なし,,すごいキズぐすり×1,賞金高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,新世代の特性・持ち物・先制技をまとめて紹介。,高難度標準・一般
TPL_S3_BIRD,2～3個目,一般トレーナーテンプレート,とりつかい,海岸・高台道路,シングル,3,25.33,27,2,なし,,いいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,水ジム対策候補を敵側でも提示。,高難度標準・一般
TPL_S3_PSYCHIC,2～3個目,一般トレーナーテンプレート,サイキッカー,こころのやかた周辺,シングル,3,25.0,26,2,なし,,いいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,睡眠技は一体だけに限定。,高難度標準・一般
TPL_S3_SWIMMER,2～3個目,一般トレーナーテンプレート,かいパンやろう,507～509番水道,シングル,3,24.67,26,2,なし,,いいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,水ジム前にちくでんを見せ、単純な電気対策を牽制。,高難度標準・一般
GYM03_KIRI,本編・3個目,ジムリーダー,キリ,シオウシティジム,シングル,5,29.8,31,4,テラスタル,スターミー初登場時にみずテラスタル,いいキズぐすり×1,ファクトバッジ／わざマシン18（アクアボルト）,リム研究所事件後にテラオーブ試作品を入手,https://w.atwiki.jp/altair1/pages/42.html,原作の難所という位置を維持。ひかりのこな・せんせいのツメを撤廃し、確定情報として予告されるみずテラと役割分担で難しくする。,高難度標準
TPL_S4_BREEDER,3～4個目,一般トレーナーテンプレート,ポケモンブリーダー,ヒスイ方面道路,シングル,3,33.67,35,2,なし,,すごいキズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,耐久ポケモンへの崩し方を学ばせる。,高難度標準・一般
TPL_S4_DH_SCI,3～4個目,一般トレーナーテンプレート,D・Hだんのけんきゅういん,アーシア島D・Hビル,シングル,3,34.33,36,3,なし,,すごいキズぐすり×1,賞金高,通常進行,https://w.atwiki.jp/altair1/pages/39.html,D・Hビルの標準研究員。,高難度標準・一般
TPL_S4_KANTO_CERT,3～4個目,認定トレーナーテンプレート,カントーのベテラン,クチバ港・交流区画,シングル,3,35.33,37,3,Zワザ,ライチュウが確定圏でデンキZ,すごいキズぐすり×1,交流BP3,D・Hビル初回攻略後,https://w.atwiki.jp/altair1/pages/39.html,早期カントーの高難度警告役。勝利必須にはしない。,高難度標準・一般
