battle_id,phase,category,trainer_name,location,battle_format,difficulty,party_slot,active_party_size,species,level,form,ability,nature,item,move1,move2,move3,move4,ev_profile,iv_floor,role,gimmick_user,implementation_note,gimmick_type,gimmick_trigger,ai_rank,trainer_items,reward,unlock_condition,source_url,design_note
TPL_S1_BUG,序盤・アヤメ前,一般トレーナーテンプレート,むしとりしょうねん,ハクジのもり,シングル,高難度標準・一般,1,3,キャタピー,5,,りんぷん,がんばりや,なし,たいあたり,いとをはく,むしくい,なし,なし,8,速度低下,no,,なし,,1,キズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,ジム前に虫技と能力低下を予告する。
TPL_S1_BUG,序盤・アヤメ前,一般トレーナーテンプレート,むしとりしょうねん,ハクジのもり,シングル,高難度標準・一般,2,3,タマンチュラ,5,,ふみん,わんぱく,なし,むしのていこう,いとをはく,まもる,なし,なし,8,特殊低下,no,,なし,,1,キズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,ジム前に虫技と能力低下を予告する。
TPL_S1_BUG,序盤・アヤメ前,一般トレーナーテンプレート,むしとりしょうねん,ハクジのもり,シングル,高難度標準・一般,3,3,マメバッタ,7,,むしのしらせ,ようき,オレンのみ,むしくい,にどげり,にらみつける,フェイント,なし,10,切り札,no,,なし,,1,キズぐすり×1,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,ジム前に虫技と能力低下を予告する。
TPL_S1_CAMPER,序盤・アヤメ前,一般トレーナーテンプレート,キャンプボーイ,ハクジのもり外周,シングル,高難度標準・一般,1,2,ビッパ,6,,たんじゅん,わんぱく,なし,たいあたり,まるくなる,ころがる,なきごえ,なし,9,積みの予告,no,,なし,,1,なし,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,小さな積み技の危険を示す。
TPL_S1_CAMPER,序盤・アヤメ前,一般トレーナーテンプレート,キャンプボーイ,ハクジのもり外周,シングル,高難度標準・一般,2,2,ココガラ,7,,きんちょうかん,ようき,オレンのみ,つつく,にらみつける,つけあがる,つめとぎ,なし,10,物理切り札,no,,なし,,1,なし,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,小さな積み技の危険を示す。
TPL_S1_LASS,序盤・アヤメ前,一般トレーナーテンプレート,ミニスカート,501～503番道路,シングル,高難度標準・一般,1,2,パピモッチ,5,,マイペース,わんぱく,なし,たいあたり,なきごえ,したでなめる,なし,なし,8,耐久入門,no,,なし,,1,なし,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,新種を低種族値の基礎形から見せる。
TPL_S1_LASS,序盤・アヤメ前,一般トレーナーテンプレート,ミニスカート,501～503番道路,シングル,高難度標準・一般,2,2,パモ,6,,せいでんき,ようき,オレンのみ,でんきショック,ひっかく,しっぽをふる,なし,なし,9,麻痺入門,no,,なし,,1,なし,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,新種を低種族値の基礎形から見せる。
TPL_S1_YOUNGSTER,序盤・アヤメ前,一般トレーナーテンプレート,たんぱんこぞう,501～503番道路,シングル,高難度標準・一般,1,2,グルトン,5,,アロマベール,いじっぱり,なし,たいあたり,しっぽをふる,ほしがる,なし,なし,8,物理入門,no,,なし,,1,なし,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,序盤の相性と命中低下を教える。
TPL_S1_YOUNGSTER,序盤・アヤメ前,一般トレーナーテンプレート,たんぱんこぞう,501～503番道路,シングル,高難度標準・一般,2,2,ポッポ,6,,するどいめ,ようき,なし,たいあたり,かぜおこし,すなかけ,なし,なし,8,タイプ一致入門,no,,なし,,1,なし,賞金標準,通常進行,https://w.atwiki.jp/altair1/pages/39.html,序盤の相性と命中低下を教える。
GYM01_AMANA,本編・1個目,ジムリーダー,アマナ,アヤメシティジム,シングル,高難度標準,1,4,タマンチュラ,12,,ふみん,わんぱく,オレンのみ,むしのていこう,いとをはく,むしくい,まもる,HP20/防御20,12,先発の素早さ・特攻低下,no,,なし,,2,キズぐすり×1,エルナトバッジ／わざマシン15（シグナルビーム）,通常進行,https://w.atwiki.jp/altair1/pages/40.html,原作のクヌギダマ・ダンゴロウ・ツボツボを維持し、タマンチュラを追加。初回ジムは通常戦の基礎を教えるため公式ギミックなし。
