move_name,source_status,integrated_spec,policy,implementation_check
そらをとぶ,ベガで性能変更または再現不足の可能性あり,90/95/15、2ターン技,公式第9世代仕様。飛行中の命中可否と特殊相互作用をCFRUへ統一,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
しめつける,ベガで性能変更または再現不足の可能性あり,15/85/20、4～5ターン拘束,ベガ独自強化値を戻し、拘束ダメージは現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
つるのムチ,ベガで性能変更または再現不足の可能性あり,45/100/25,公式第6世代以降,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
とびげり,ベガで性能変更または再現不足の可能性あり,100/95/10、失敗時最大HPの1/2,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
たいあたり,ベガで性能変更または再現不足の可能性あり,40/100/35,公式現行値,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
まきつく,ベガで性能変更または再現不足の可能性あり,15/90/20、4～5ターン拘束,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
あばれる,ベガで性能変更または再現不足の可能性あり,120/100/10、2～3ターン後混乱,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
かなしばり,ベガで性能変更または再現不足の可能性あり,命中100、最後に使った技を4ターン封印,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
ようかいえき,ベガで性能変更または再現不足の可能性あり,40/100/30、特防低下10%,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
なみのり,ベガで性能変更または再現不足の可能性あり,90/100/15、全隣接対象,ダブルで味方も対象の現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
ふぶき,ベガで性能変更または再現不足の可能性あり,110/70/5、こおり10%、雪で必中,天候処理をCFRU仕様へ,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
すいとる,ベガで性能変更または再現不足の可能性あり,20/100/25、与ダメージの1/2回復,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
メガドレイン,ベガで性能変更または再現不足の可能性あり,40/100/15、与ダメージの1/2回復,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
せいちょう,ベガで性能変更または再現不足の可能性あり,攻撃・特攻+1、晴れ時+2,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
はなびらのまい,ベガで性能変更または再現不足の可能性あり,120/100/10、2～3ターン後混乱,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
ほのおのうず,ベガで性能変更または再現不足の可能性あり,35/85/15、4～5ターン拘束,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
あなをほる,ベガで性能変更または再現不足の可能性あり,80/100/10,公式現行値,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
どくどく,ベガで性能変更または再現不足の可能性あり,90/10、毒タイプ使用時必中,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
じこさいせい,ベガで性能変更または再現不足の可能性あり,最大HPの1/2回復、PP5,第9世代PPへ,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
ちいさくなる,ベガで性能変更または再現不足の可能性あり,回避+2、踏みつけ系の必中・威力倍増対象,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
がまん,ベガで性能変更または再現不足の可能性あり,第7世代までの仕様を再現、通常習得は縮小,廃止技扱い。NPC・施設では原則使わない,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
たきのぼり,ベガで性能変更または再現不足の可能性あり,80/100/15、ひるみ20%,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
からではさむ,ベガで性能変更または再現不足の可能性あり,35/85/15、4～5ターン拘束,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
とびひざげり,ベガで性能変更または再現不足の可能性あり,130/90/10、失敗時最大HPの1/2,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
へびにらみ,ベガで性能変更または再現不足の可能性あり,命中100、麻痺,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
どくガス,ベガで性能変更または再現不足の可能性あり,命中90、相手全体,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
フラッシュ,ベガで性能変更または再現不足の可能性あり,命中100、命中率-1,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
クラブハンマー,ベガで性能変更または再現不足の可能性あり,100/90/10、急所率+1,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
わたほうし,ベガで性能変更または再現不足の可能性あり,命中100、相手全体の素早さ-2,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
まもる,ベガで性能変更または再現不足の可能性あり,PP10、連続成功率低下,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
こわいかお,ベガで性能変更または再現不足の可能性あり,命中100、素早さ-2,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
だましうち,ベガで性能変更または再現不足の可能性あり,60/必中/20,廃止技だがベガ互換枠として維持。追加配布しない,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
でんじほう,ベガで性能変更または再現不足の可能性あり,120/50/5、麻痺100%,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
みきり,ベガで性能変更または再現不足の可能性あり,PP5、連続成功率低下,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
ボーンラッシュ,ベガで性能変更または再現不足の可能性あり,25/90/10、2～5回,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
げきりん,ベガで性能変更または再現不足の可能性あり,120/100/10、2～3ターン後混乱,現代仕様,CFRUの技スクリプト・AI評価・アニメ・ダブル対象範囲を確認
