party_key,encounter_key,battle_format,party_size,level_floor,level_cap,shared_party_policy,sharing_reason,ai_profile_key,trainer_item_keys,gimmick_key,runtime_status,notes
PARTY_KANTO_BOSS_GYM_01,ENC_KANTO_BOSS_GYM_01,SINGLE,6,78,80,UNIQUE_BOSS,NONE,AI_FULL_SMART,[],NONE_CURRENT_ABI,EXISTING_ROM_VERIFIED,"TASK06 unique six-member design; source_size=6; fixed Lv78-80; win path A=キョジオーン(先発・削り) -> プテラ(切り札); win path B=プテラ(切り札) as counterweight; known-state-only AI=AI_FULL_SMART; gimmick=NONE; ability/nature/EV are catalog design, while species/form/level/item/moves/IV use current party fields"
PARTY_KANTO_BOSS_GYM_02,ENC_KANTO_BOSS_GYM_02,SINGLE,6,81,83,UNIQUE_BOSS,NONE,AI_FULL_SMART,[],NONE_CURRENT_ABI,EXISTING_ROM_VERIFIED,"TASK06 unique six-member design; source_size=6; fixed Lv81-83; win path A=イルカマン(先発・交代で英雄化) -> ヤドラン(切り札); win path B=ヤドラン(切り札) as counterweight; known-state-only AI=AI_FULL_SMART; gimmick=NONE; ability/nature/EV are catalog design, while species/form/level/item/moves/IV use current party fields"
PARTY_KANTO_BOSS_GYM_03,ENC_KANTO_BOSS_GYM_03,SINGLE,6,84,86,UNIQUE_BOSS,NONE,AI_FULL_SMART,[],NONE_CURRENT_ABI,EXISTING_ROM_VERIFIED,"TASK06 unique six-member design; source_size=6; fixed Lv84-86; win path A=パーモット(先発・麻痺) -> ライボルト(切り札); win path B=ライボルト(切り札) as counterweight; known-state-only AI=AI_FULL_SMART; gimmick=NONE; ability/nature/EV are catalog design, while species/form/level/item/moves/IV use current party fields"
PARTY_KANTO_BOSS_GYM_04,ENC_KANTO_BOSS_GYM_04,SINGLE,6,87,89,UNIQUE_BOSS,NONE,AI_FULL_SMART,[],NONE_CURRENT_ABI,EXISTING_ROM_VERIFIED,"TASK06 unique six-member design; source_size=6; fixed Lv87-89; win path A=マスカーニャ(高速先発) -> フシギバナ(切り札); win path B=フシギバナ(切り札) as counterweight; known-state-only AI=AI_FULL_SMART; gimmick=NONE; ability/nature/EV are catalog design, while species/form/level/item/moves/IV use current party fields"
PARTY_KANTO_BOSS_GYM_05,ENC_KANTO_BOSS_GYM_05,SINGLE,6,90,92,UNIQUE_BOSS,NONE,AI_FULL_SMART,[],GIMMICK_MEGA_REQUEST,NEEDS_FINAL_CODEX_INTEGRATION,"TASK06 unique six-member design; source_size=6; fixed Lv90-92; win path A=ドオー(先発・受け) -> スピアー(切り札); win path B=スピアー(切り札) as counterweight; known-state-only AI=AI_FULL_SMART; gimmick=MEGA; ability/nature/EV are catalog design, while species/form/level/item/moves/IV use current party fields"
PARTY_KANTO_BOSS_GYM_06,ENC_KANTO_BOSS_GYM_06,SINGLE,6,93,95,UNIQUE_BOSS,NONE,AI_FULL_SMART,[],GIMMICK_MEGA_REQUEST,NEEDS_FINAL_CODEX_INTEGRATION,"TASK06 unique six-member design; source_size=6; fixed Lv93-95; win path A=クエスパトラ(先発積み) -> フーディン(切り札); win path B=フーディン(切り札) as counterweight; known-state-only AI=AI_FULL_SMART; gimmick=MEGA; ability/nature/EV are catalog design, while species/form/level/item/moves/IV use current party fields"
PARTY_KANTO_BOSS_GYM_07,ENC_KANTO_BOSS_GYM_07,SINGLE,6,96,98,UNIQUE_BOSS,NONE,AI_FULL_SMART,[],GIMMICK_MEGA_REQUEST,NEEDS_FINAL_CODEX_INTEGRATION,"TASK06 unique six-member design; source_size=6; fixed Lv96-98; win path A=ラウドボーン(先発・積み牽制) -> リザードン(切り札); win path B=リザードン(切り札) as counterweight; known-state-only AI=AI_FULL_SMART; gimmick=MEGA; ability/nature/EV are catalog design, while species/form/level/item/moves/IV use current party fields"
PARTY_KANTO_BOSS_GYM_08,ENC_KANTO_BOSS_GYM_08,SINGLE,6,98,100,UNIQUE_BOSS,NONE,AI_FULL_SMART,[],GIMMICK_MEGA_REQUEST,NEEDS_FINAL_CODEX_INTEGRATION,"TASK06 unique six-member design; source_size=6; fixed Lv98-100; win path A=バンギラス(先発・砂) -> ピジョット(切り札); win path B=ピジョット(切り札) as counterweight; known-state-only AI=AI_FULL_SMART; gimmick=MEGA; ability/nature/EV are catalog design, while species/form/level/item/moves/IV use current party fields"
PARTY_KANTO_BOSS_LEAGUE_01,ENC_KANTO_BOSS_LEAGUE_01,SINGLE,6,94,97,UNIQUE_BOSS,NONE,AI_FULL_SMART,[],GIMMICK_Z_MOVE_REQUEST,NEEDS_FINAL_CODEX_INTEGRATION,"TASK06 unique six-member design; source_size=6; fixed Lv94-97; win path A=キュウコン(雪・壁始動) -> ラプラス(切り札・耐久); win path B=ラプラス(切り札・耐久) as counterweight; known-state-only AI=AI_FULL_SMART; gimmick=Z_MOVE; ability/nature/EV are catalog design, while species/form/level/item/moves/IV use current party fields"
PARTY_KANTO_BOSS_LEAGUE_02,ENC_KANTO_BOSS_LEAGUE_02,SINGLE,6,95,98,UNIQUE_BOSS,NONE,AI_FULL_SMART,[],GIMMICK_MEGA_REQUEST,NEEDS_FINAL_CODEX_INTEGRATION,"TASK06 unique six-member design; source_size=6; fixed Lv95-98; win path A=バサギリ(先発設置) -> ヘラクロス(メガ切り札); win path B=ヘラクロス(メガ切り札) as counterweight; known-state-only AI=AI_FULL_SMART; gimmick=MEGA; ability/nature/EV are catalog design, while species/form/level/item/moves/IV use current party fields"
PARTY_KANTO_BOSS_LEAGUE_03,ENC_KANTO_BOSS_LEAGUE_03,SINGLE,6,96,99,UNIQUE_BOSS,NONE,AI_FULL_SMART,[],GIMMICK_MEGA_REQUEST,NEEDS_FINAL_CODEX_INTEGRATION,"TASK06 unique six-member design; source_size=6; fixed Lv96-99; win path A=ハカドッグ(砂始動) -> ゲンガー(メガ切り札); win path B=ゲンガー(メガ切り札) as counterweight; known-state-only AI=AI_FULL_SMART; gimmick=MEGA; ability/nature/EV are catalog design, while species/form/level/item/moves/IV use current party fields"
PARTY_KANTO_BOSS_LEAGUE_04,ENC_KANTO_BOSS_LEAGUE_04,SINGLE,6,97,100,UNIQUE_BOSS,NONE,AI_FULL_SMART,[],GIMMICK_MEGA_REQUEST,NEEDS_FINAL_CODEX_INTEGRATION,"TASK06 unique six-member design; source_size=6; fixed Lv97-100; win path A=ドラミドロ(特殊受け) -> ボーマンダ(メガ切り札); win path B=ボーマンダ(メガ切り札) as counterweight; known-state-only AI=AI_FULL_SMART; gimmick=MEGA; ability/nature/EV are catalog design, while species/form/level/item/moves/IV use current party fields"
