encounter_key,reference_index,trainer_id,source_trainer_id,group_id,map_id,root_kind,root_index,local_id,x,y,story_phase,script_instruction_address,trainerbattle_kind,battle_format,party_key,party_size,party_abi,ai_profile_key,initial_or_rematch,defeat_flag_owner_trainer_id,runtime_id_resolution,format_contract,adoption_reason,exact_rom_evidence
ENC_TOHOKU_REF_0035,35,116,116,3,20,object,8,9,31,11,TOHOKU_PROLOGUE_PRE_GYM1,0x08E031C0,0,SINGLE,PARTY_TOHOKU_REF_0035,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,116,DIRECT_SCRIPT_ID,KIND_0_SINGLE,"map 3/20 (31,11)の序盤導線で、麻痺→耐久→炎御三家の順に基本対面を教える初回個体として採用。",stage31 bytes audited at 0x08E031C0; kind=0; source_id=116
ENC_TOHOKU_REF_0036,36,1040,116,3,20,object,8,9,31,11,TOHOKU_PROLOGUE_PRE_GYM1,0x08E031E8,5,SINGLE,PARTY_TOHOKU_REF_0036,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,116,REMATCH_HOOK_SOURCE_TO_V5_ID,KIND_5_SINGLE,同一objectの再戦分岐を水御三家aceへ変え、初回116と別partyで再訪時の学習差分を作る。,stage31 bytes audited at 0x08E031E8; kind=5; source_id=116
ENC_TOHOKU_REF_0039,39,118,118,3,19,object,4,5,38,11,TOHOKU_PROLOGUE_PRE_GYM1,0x08E030C0,0,SINGLE,PARTY_TOHOKU_REF_0039,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,118,DIRECT_SCRIPT_ID,KIND_0_SINGLE,"map 3/19 (38,11)の通過戦に電気・耐久・飛行STABの三段構成を置き、経路終盤のタイプ一致確認に使う。",stage31 bytes audited at 0x08E030C0; kind=0; source_id=118
ENC_TOHOKU_REF_0040,40,1042,118,3,19,object,4,5,38,11,TOHOKU_PROLOGUE_PRE_GYM1,0x08E030E8,5,SINGLE,PARTY_TOHOKU_REF_0040,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,118,REMATCH_HOOK_SOURCE_TO_V5_ID,KIND_5_SINGLE,trainer118の再戦はLechonk物理aceへ置換し、Pidgey版の単純反復を避けて物理圧を示す。,stage31 bytes audited at 0x08E030E8; kind=5; source_id=118
ENC_TOHOKU_REF_0155,155,175,175,3,20,object,2,3,65,10,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03280,0,SINGLE,PARTY_TOHOKU_REF_0155,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,175,DIRECT_SCRIPT_ID,KIND_0_SINGLE,"map 3/20 (65,10)の東端trainerをPineco設置技aceにし、位置的な寄り道報酬としてhazard紹介を担わせる。",stage31 bytes audited at 0x08E03280; kind=0; source_id=175
ENC_TOHOKU_REF_0156,156,1095,175,3,20,object,2,3,65,10,TOHOKU_PROLOGUE_PRE_GYM1,0x08E032A8,5,SINGLE,PARTY_TOHOKU_REF_0156,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,175,REMATCH_HOOK_SOURCE_TO_V5_ID,KIND_5_SINGLE,trainer175再戦ではPinecoを中核へ前倒ししFidoughをaceにして、同じ三体でも出順と役割を個別化する。,stage31 bytes audited at 0x08E032A8; kind=5; source_id=175
ENC_TOHOKU_REF_0184,184,190,190,3,20,object,9,10,43,11,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03200,0,SINGLE,PARTY_TOHOKU_REF_0184,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,190,DIRECT_SCRIPT_ID,KIND_0_SINGLE,"map 3/20 (43,11)の虫使いをCaterpie/Nymble/Tarountulaで統一し、速度低下から特殊低下へ繋ぐ虫テーマ戦にする。",stage31 bytes audited at 0x08E03200; kind=0; source_id=190
ENC_TOHOKU_REF_0185,185,1107,190,3,20,object,9,10,43,11,TOHOKU_PROLOGUE_PRE_GYM1,0x08E03228,5,SINGLE,PARTY_TOHOKU_REF_0185,3,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_SEMI_SMART,REMATCH,190,REMATCH_HOOK_SOURCE_TO_V5_ID,KIND_5_SINGLE,trainer190再戦の最後をScatterbugへ変え、状態異常命中支援を加えて初回のTarountula型と役割を分離する。,stage31 bytes audited at 0x08E03228; kind=5; source_id=190
ENC_TOHOKU_REF_0440,440,326,326,4,3,coord,3,,5,8,TOHOKU_PROLOGUE_PRE_GYM1,0x0817C9C7,9,SINGLE,PARTY_TOHOKU_REF_0440,1,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_BASIC,INITIAL,326,DIRECT_SCRIPT_ID,KIND_9_SINGLE,開始座標分岐のtrainer326は選択御三家に対応する水御三家単騎とし、kind9通常singleの導入戦を維持する。,stage31 bytes audited at 0x0817C9C7; kind=9; source_id=326
ENC_TOHOKU_REF_0441,441,327,327,4,3,coord,3,,5,8,TOHOKU_PROLOGUE_PRE_GYM1,0x0817CABA,9,SINGLE,PARTY_TOHOKU_REF_0441,1,ITEM_CUSTOM_MOVES_16_BYTES_PLUS_SIDECAR_V1,AI_BASIC,INITIAL,327,DIRECT_SCRIPT_ID,KIND_9_SINGLE,開始座標分岐のtrainer327は草御三家単騎を実ROMの通常入口へ結び、Actashi選択時の既存物語相性を保つ。,stage31 bytes audited at 0x0817CABA; kind=9; source_id=327
