move_name,vega_current_spec,integrated_proposal,reason,recommended_gate,distribution_policy,facility_test
アイスバーン,80/95/15・相手全体・特攻上昇40%,80/95/15・相手全体・特攻+1が20%,上昇率を抑えダブルでの雪だるま化を防止,本編後半,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
アクアボルト,70/90/20・麻痺40%,70/95/20・麻痺30%,命中を補い追加率を標準化,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
いかりのほのお,110/100/10・自分混乱10%,110/100/10・自分混乱20%,高威力の軽いデメリットを明確化,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
いわころがり,60/85/10・連続強化,50/90/10・連続強化,ころがる系として命中を改善し初動を抑制,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
おいしげる,100/95/10・相手全体・素早さ低下10%,95/95/10・相手全体・素早さ-1が20%,ダブル向け役割を明確化,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
おいつめる,55/必中/20・優先度-1・拘束,50/必中/15・優先度-1・4～5ターン拘束,拘束仕様を現代化,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
おおあくび,変則睡眠技,あくび同等・命中必中,処理を単純化しAI対応,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
おんち,100/100/10・ランダム対象・特防低下/混乱各10%,90/100/10・音技・相手全体・特防-1が20%,ランダム対象を廃止し施設AIを安定化,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
かくらんひこう,80/95/15・命中低下20%/混乱20%,80/95/15・命中低下20%,二重行動阻害を削減,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
かっくう,50/100/25・命中上昇50%,60/100/20・自分の命中+1が30%,威力と追加率を整理,序盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
きけんなどくそ,120/70/5・相手全体・猛毒20%,110/80/5・相手全体・猛毒20%,命中を実用域へ、威力を抑制,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ギガスパーク,120/80/5・自分防御↓↓10%,110/85/5・自分防御-1が30%,リスクを読みやすくする,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
くらいつく,90/90/20・睡眠30%/混乱30%,85/95/15・混乱20%・交代不可3ターン,行動不能重複を廃止,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
げきとつ,140/80/5・自分混乱100%,130/90/5・反動1/3,標準的な大反動技へ,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
げんしのいぶき,55/100/25・相手全体・特攻上昇60%,60/100/15・相手全体・特攻+1が20%,序盤の過剰上昇を抑制,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
げんわくごな,命中75・混乱,命中85・混乱,標準化,序盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
こおりのキッス,60/95/25・防御低下20%/凍り20%,65/95/15・防御低下20%/凍り10%,凍結率を標準化,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
さいみんはどう,55/90/25・睡眠30%,60/90/15・睡眠20%,攻撃＋睡眠の期待値を抑制,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
サイコバーン,120/70/5・自分特防上昇10%,110/80/5・自分特防+1が20%,命中を改善し威力調整,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
サイコバレット,120/90/5・自分火傷10%,110/95/5・自分特攻-1,反動を戦術的に固定,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
サイコパンチ,75/100/20・混乱10%,80/100/15・混乱10%,物理エスパー標準技として整理,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
サンドソニック,80/100/20・特防低下20%,80/100/15・音技・特防低下20%,音技属性を明示,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
しゃくねつほう,180/95/5・防御/特防/素早さ低下・まもる貫通,150/90/5・自分防御/特防/素早さ-1・まもる貫通なし,超過性能を是正。伝説専用は160まで可,最終盤専用,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
しゅうげき,100/100/10・天候別状態異常20%,90/100/10・天候別状態異常20%,汎用性に対して威力を抑制,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
じゅうりょくは,体重依存特殊,20～120/100/10・体重依存特殊,けたぐり同型の明示,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
じりょくせん,100/90/15・攻撃/特攻低下各10%,90/100/10・攻撃または特攻の高い方を-1が30%,処理と役割を明確化,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ジオインパクト,120/100/10・相手特攻↑↑60%,120/100/5・相手特攻+2,明確なデメリット技。配布を極小化,最終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
すなかぜ,100/85/15・全体・命中低下30%,85/90/10・相手全体・命中低下20%,ダブル性能を抑制,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
スターフリーズ,120/70/5・麻痺10%,110/80/5・麻痺10%,命中を実用域へ,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
スピンテール,80/100/20・素早さ上昇40%,80/100/15・素早さ+1が30%,追加率を標準化,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
スプラッシュ,100/90/10・相手全体・回避上昇10%,90/95/10・相手全体・回避上昇なし,回避上昇を削除,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
たいでん,攻撃/特攻上昇、雨で+2,攻撃/特攻+1、雨で特攻のみ+2,両刀2段階を抑制,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
たたり,威力変動・まもる貫通,最大150/100/5・HP依存・まもる貫通なし,突破性能を制限,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
だいこうずい,140/90/5・特攻↓↓,130/90/5・特攻-2,公式オーバーヒート型へ,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
だいせいちょう,100/85/15・相手全体・特攻上昇50%,90/90/10・相手全体・特攻+1が20%,ダブルでの連続上昇を抑制,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ダークカッター,55/95/25・相手全体・急所率高,60/100/20・相手全体・急所率+1,序盤の安定技へ,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ダークハンド,命中+2,命中+2、PP10,据え置き。高回避技との併用を監査,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ダークリゾルブ,120/100/5・自分毒100%,120/100/5・自分猛毒,明確な代償へ,最終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ダークロアー,40/100/30・優先度+1,40/100/20・優先度+1・音技,ふいうちとの差別化,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ダイヤブラスト,100/100/10・自分特防低下20%,95/100/10・自分特防-1が20%,特殊岩の安定技として調整,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ダブルショット,35×2/100/20・命中上昇20%,35×2/100/15・追加効果なし,連続技として単純化,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ダブルスピン,35×2/100/20・攻撃上昇10%,35×2/100/15・攻撃+1が10%,据え置きに近い,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
つららパンチ,100/90/10・回避低下20%,90/100/10・回避低下20%,命中安定型へ,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
どくえんまく,55/95/20・命中低下30%/毒30%,55/95/15・毒30%,二重妨害を削減,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ドラゴンビート,120/90/15・相手攻撃+2が40%・音技,110/95/10・相手攻撃+1が30%・音技,デメリットを緩和し威力抑制,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ねらいうち,40/100/20・急所3倍,70/100/15・急所率+2,独自急所倍率を廃止,中盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
ハリケーン,120/100/5・自分能力変化70%,110/90/5・自分のランダム能力+1が30%,公式ぼうふうとの区別を維持,終盤,ベガ固有種の代表技を優先。公式種への配布は設定・身体構造が一致する少数系統のみ。,命中・追加効果・ダブル対象・AI評価・まもる／みがわり／特性との相互作用を試験
