coverage_key,subject_kind,subject_key,coverage_status,event_keys,rationale
COVERAGE_KEY_LOGICAL_K01,LOGICAL_LOCATION,K01,NEW_EVENT,EVENT_KEY_SIDE_FOREST_CORRIDOR_START,1ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は森の回廊 調査開始。
COVERAGE_KEY_LOGICAL_K02,LOGICAL_LOCATION,K02,NEW_EVENT,EVENT_KEY_SIDE_FOREST_CORRIDOR_ROUTE2,2ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は二番道路の花粉記録。
COVERAGE_KEY_LOGICAL_K03,LOGICAL_LOCATION,K03,NEW_EVENT,EVENT_KEY_SIDE_MOON_STRATA_ROUTE3,3ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は三番道路の乾燥層。
COVERAGE_KEY_LOGICAL_K04,LOGICAL_LOCATION,K04,NEW_EVENT,EVENT_KEY_SIDE_EGG_COURIER_ROUTE4,4ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は河岸の保温材。
COVERAGE_KEY_LOGICAL_K05,LOGICAL_LOCATION,K05,NEW_EVENT,EVENT_KEY_SIDE_EGG_COURIER_START|EVENT_KEY_SIDE_EGG_COURIER_COMPLETE,5ばんどうろに2件の新規SIMPLE_EVENTを配置する。内容はたまご保温材の依頼・たまご搬送の完了。
COVERAGE_KEY_LOGICAL_K06,LOGICAL_LOCATION,K06,NEW_EVENT,EVENT_KEY_FLAVOR_ROUTE6_TIDE,6ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は六番道路の潮読み。
COVERAGE_KEY_LOGICAL_K07,LOGICAL_LOCATION,K07,NEW_EVENT,EVENT_KEY_SIDE_CITY_SEEDS_START,7ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は都市の種 調査開始。
COVERAGE_KEY_LOGICAL_K08,LOGICAL_LOCATION,K08,NEW_EVENT,EVENT_KEY_SIDE_MEMORY_LIGHT_START,8ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は記憶灯 調査開始。
COVERAGE_KEY_LOGICAL_K09,LOGICAL_LOCATION,K09,NEW_EVENT,EVENT_KEY_SIDE_WATER_CURRENT_START,9ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は水と電気の境界 調査開始。
COVERAGE_KEY_LOGICAL_K10,LOGICAL_LOCATION,K10,NEW_EVENT,EVENT_KEY_SIDE_WATER_CURRENT_ROUTE10,10ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は十番道路の共振。
COVERAGE_KEY_LOGICAL_K11,LOGICAL_LOCATION,K11,NEW_EVENT,EVENT_KEY_SIDE_UNDERGROUND_BREATH_START,11ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は地下の呼吸 調査開始。
COVERAGE_KEY_LOGICAL_K12,LOGICAL_LOCATION,K12,NEW_EVENT,EVENT_KEY_SIDE_WETLAND_MIGRATION_START,12ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は湿地の渡り 調査開始。
COVERAGE_KEY_LOGICAL_K13,LOGICAL_LOCATION,K13,NEW_EVENT,EVENT_KEY_SIDE_WETLAND_MIGRATION_ROUTE13,13ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は十三番道路の羽休め。
COVERAGE_KEY_LOGICAL_K14,LOGICAL_LOCATION,K14,NEW_EVENT,EVENT_KEY_SIDE_WETLAND_MIGRATION_ROUTE14,14ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は十四番道路の強風。
COVERAGE_KEY_LOGICAL_K15,LOGICAL_LOCATION,K15,NEW_EVENT,EVENT_KEY_SIDE_WETLAND_MIGRATION_COMPLETE,15ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は十五番道路の渡り終点。
COVERAGE_KEY_LOGICAL_K16,LOGICAL_LOCATION,K16,NEW_EVENT,EVENT_KEY_SIDE_WIND_RING_START,16ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は風の輪 調査開始。
COVERAGE_KEY_LOGICAL_K17,LOGICAL_LOCATION,K17,NEW_EVENT,EVENT_KEY_SIDE_WIND_RING_ROUTE17,17ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は十七番道路の横風。
COVERAGE_KEY_LOGICAL_K18,LOGICAL_LOCATION,K18,NEW_EVENT,EVENT_KEY_SIDE_WIND_RING_COMPLETE,18ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は十八番道路の風輪。
COVERAGE_KEY_LOGICAL_K19,LOGICAL_LOCATION,K19,NEW_EVENT,EVENT_KEY_SIDE_COLD_CURRENT_START,19ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は暖流と寒流 調査開始。
COVERAGE_KEY_LOGICAL_K20,LOGICAL_LOCATION,K20,NEW_EVENT,EVENT_KEY_SIDE_COLD_CURRENT_ROUTE20,20ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は二十番道路の寒流線。
COVERAGE_KEY_LOGICAL_K21,LOGICAL_LOCATION,K21,NEW_EVENT,EVENT_KEY_SIDE_VOLCANO_ARCHIVE_START,21ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は火山資料 調査開始。
COVERAGE_KEY_LOGICAL_K22,LOGICAL_LOCATION,K22,NEW_EVENT,EVENT_KEY_MAIN_ROUTE22_BRIEF,22ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は二十二番道路の最終案内。
COVERAGE_KEY_LOGICAL_K23,LOGICAL_LOCATION,K23,NEW_EVENT,EVENT_KEY_MAIN_ROUTE23_GATE,23ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は二十三番道路の認定門。
COVERAGE_KEY_LOGICAL_K24,LOGICAL_LOCATION,K24,NEW_EVENT,EVENT_KEY_SIDE_CAPE_TIME_START,24ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は岬の時間差 調査開始。
COVERAGE_KEY_LOGICAL_K25,LOGICAL_LOCATION,K25,NEW_EVENT,EVENT_KEY_SIDE_CAPE_TIME_COMPLETE,25ばんどうろに1件の新規SIMPLE_EVENTを配置する。内容は岬の時間差 共鳴。
COVERAGE_KEY_LOGICAL_K26,LOGICAL_LOCATION,K26,NEW_EVENT,EVENT_KEY_SIDE_FOREST_CORRIDOR_COMPLETE|EVENT_KEY_CERT_8_VIRIDIAN,トキワのもりに2件の新規SIMPLE_EVENTを配置する。内容は森の回廊 調査完了・第八認定章 総合判断。
COVERAGE_KEY_LOGICAL_K27,LOGICAL_LOCATION,K27,NEW_EVENT,EVENT_KEY_SIDE_MOON_STRATA_MT_MOON,おつきみやまに1件の新規SIMPLE_EVENTを配置する。内容はおつきみやまの内層。
COVERAGE_KEY_LOGICAL_K28,LOGICAL_LOCATION,K28,NEW_EVENT,EVENT_KEY_SIDE_UNDERGROUND_BREATH_DIGLETT,ディグダのあなに1件の新規SIMPLE_EVENTを配置する。内容はディグダの穴の脈動。
COVERAGE_KEY_LOGICAL_K29,LOGICAL_LOCATION,K29,NEW_EVENT,EVENT_KEY_FLAVOR_SSANNE_EXCHANGE,サント・アンヌ号に1件の新規SIMPLE_EVENTを配置する。内容は甲板の二地方交流。
COVERAGE_KEY_LOGICAL_K30,LOGICAL_LOCATION,K30,NEW_EVENT,EVENT_KEY_SIDE_UNDERGROUND_BREATH_COMPLETE,イワヤマトンネルに1件の新規SIMPLE_EVENTを配置する。内容は地下の呼吸 調査完了。
COVERAGE_KEY_LOGICAL_K31,LOGICAL_LOCATION,K31,NEW_EVENT,EVENT_KEY_SIDE_MEMORY_LIGHT_TOWER,ポケモンタワーに1件の新規SIMPLE_EVENTを配置する。内容は塔の静かな灯り。
COVERAGE_KEY_LOGICAL_K32,LOGICAL_LOCATION,K32,NEW_EVENT,EVENT_KEY_SIDE_MEMORY_LIGHT_COMPLETE,ロケットだんアジト跡に1件の新規SIMPLE_EVENTを配置する。内容は跡地の記憶灯。
COVERAGE_KEY_LOGICAL_K33,LOGICAL_LOCATION,K33,NEW_EVENT,EVENT_KEY_CERT_4_CELADON|EVENT_KEY_SIDE_CITY_SEEDS_COMPLETE,タマムシ温室に2件の新規SIMPLE_EVENTを配置する。内容は第四認定章 交代の庭・タマムシ温室の芽。
COVERAGE_KEY_LOGICAL_K34,LOGICAL_LOCATION,K34,NEW_EVENT,EVENT_KEY_FACILITY_SAFARI_OFFICE|EVENT_KEY_CERT_5_FUCHSIA,サファリゾーン中央に2件の新規SIMPLE_EVENTを配置する。内容はサファリ観察の心得・第五認定章 群れの間合い。
COVERAGE_KEY_LOGICAL_K35,LOGICAL_LOCATION,K35,NEW_EVENT,EVENT_KEY_FLAVOR_SAFARI_EAST,サファリゾーン東に1件の新規SIMPLE_EVENTを配置する。内容はサファリ東区の水跡。
COVERAGE_KEY_LOGICAL_K36,LOGICAL_LOCATION,K36,NEW_EVENT,EVENT_KEY_FLAVOR_SAFARI_NORTH,サファリゾーン北に1件の新規SIMPLE_EVENTを配置する。内容はサファリ北区の草音。
COVERAGE_KEY_LOGICAL_K37,LOGICAL_LOCATION,K37,NEW_EVENT,EVENT_KEY_FLAVOR_SAFARI_WEST,サファリゾーン西に1件の新規SIMPLE_EVENTを配置する。内容はサファリ西区の風穴。
COVERAGE_KEY_LOGICAL_K38,LOGICAL_LOCATION,K38,NEW_EVENT,EVENT_KEY_SIDE_COLD_CURRENT_COMPLETE,ふたごじまに1件の新規SIMPLE_EVENTを配置する。内容はふたごじまの光。
COVERAGE_KEY_LOGICAL_K39,LOGICAL_LOCATION,K39,NEW_EVENT,EVENT_KEY_SIDE_VOLCANO_ARCHIVE_MANSION,ポケモンやしきに1件の新規SIMPLE_EVENTを配置する。内容はやしきの冷却記録。
COVERAGE_KEY_LOGICAL_K40,LOGICAL_LOCATION,K40,NEW_EVENT,EVENT_KEY_SIDE_WATER_CURRENT_COMPLETE,むじんはつでんしょに1件の新規SIMPLE_EVENTを配置する。内容は発電所の未来核。
COVERAGE_KEY_LOGICAL_K41,LOGICAL_LOCATION,K41,NEW_EVENT,EVENT_KEY_QOL_LATE_TRAINING|EVENT_KEY_CERT_6_SAFFRON|EVENT_KEY_QOL_LICENSE_SYNC|EVENT_KEY_QOL_COMPETITIVE_SUPPLY|EVENT_KEY_QOL_HIGH_RAID|EVENT_KEY_QOL_LEAGUE_TECH,シルフカンパニーに6件の新規SIMPLE_EVENTを配置する。内容は後半育成メニュー案内・第六認定章 情報の先読み・探索ライセンス同期・対戦用供給案内・高難度レイド観測・リーグ技術記録。
COVERAGE_KEY_LOGICAL_K42,LOGICAL_LOCATION,K42,NEW_EVENT,EVENT_KEY_MAIN_VICTORY_ROAD_SIGNAL|EVENT_KEY_MAIN_KANTO_LEAGUE_ENTRY|EVENT_KEY_MAIN_KANTO_LEAGUE_CLEAR|EVENT_KEY_MAIN_FINAL_LEAGUE_AVAILABLE|EVENT_KEY_QOL_UB_SUPPLY|EVENT_KEY_QOL_GOLD_CAP_SUPPLY|EVENT_KEY_MAIN_FINAL_LEAGUE_CLEARED,チャンピオンロードに7件の新規SIMPLE_EVENTを配置する。内容はチャンピオンロード信号・カントーリーグ受付・カントーリーグ踏破確認・Final League開放確認・異界エネルギー供給案内・最終育成供給案内・二地方認定の最終完結。
COVERAGE_KEY_LOGICAL_K43,LOGICAL_LOCATION,K43,NEW_EVENT,EVENT_KEY_CERT_2_CERULEAN|EVENT_KEY_MAIN_CAVE_RESONANCE,ハナダのどうくつに2件の新規SIMPLE_EVENTを配置する。内容は第二認定章 水流の切替・ハナダ洞窟の最終共鳴。
COVERAGE_KEY_LOGICAL_K44,LOGICAL_LOCATION,K44,NEW_EVENT,EVENT_KEY_SIDE_MOON_STRATA_START|EVENT_KEY_SIDE_MOON_STRATA_COMPLETE|EVENT_KEY_CERT_1_PEWTER,ニビ博物館・化石研究室に3件の新規SIMPLE_EVENTを配置する。内容は月の地層 調査開始・月の地層 報告・第一認定章 地層の読み合い。
COVERAGE_KEY_LOGICAL_K45,LOGICAL_LOCATION,K45,NEW_EVENT,EVENT_KEY_CERT_7_CINNABAR|EVENT_KEY_SIDE_VOLCANO_ARCHIVE_COMPLETE,グレン研究所に2件の新規SIMPLE_EVENTを配置する。内容は第七認定章 熱量の管理・グレン研究室の再生核。
COVERAGE_KEY_LOGICAL_K46,LOGICAL_LOCATION,K46,NEW_EVENT,EVENT_KEY_FACILITY_PORT_WARNING|EVENT_KEY_MAIN_PORT_ARRIVAL|EVENT_KEY_MAIN_PORT_REGISTRATION|EVENT_KEY_FACILITY_PORT_HEAL|EVENT_KEY_FACILITY_PORT_RETURN|EVENT_KEY_FACILITY_FACTORY_GUIDE|EVENT_KEY_CERT_3_VERMILION|EVENT_KEY_MAIN_EARLY_FOUR_COMPLETE|EVENT_KEY_MAIN_POSTHOF_RETURN,クチバ港・連絡船ターミナルに9件の新規SIMPLE_EVENTを配置する。内容はクチバ高難度警告・第二地方への初着岸・生態戦術認定への登録・港の無料回復・港の無料帰還・ファクトリー試行案内・第三認定章 潮風の組立・前半四認定の小完結・殿堂入り後の再招集。
