layer,encounter_type,slot_structure,target_rate,protection_rule,unlock
トーホク本編・既存表,陸上,既存12枠,100%,ベガ既存テーブルを一切削除しない,常時
トーホク本編・追加抽選,陸上共通,追加6枠,マップ別4～10%,既存遭遇成立後ではなく、遭遇種決定前に独立抽選。外れたら既存表へ戻す,研究ランク0～
トーホク本編・夜,夜間,追加3枠,追加抽選内20～35%,夜待ちを必須にしない。夜限定種は週末大量発生または研究所交換で救済,バッジ2～
トーホク本編・水上／釣り,水上・釣り,追加3～5枠,追加抽選6～15%,既存釣りレア枠を上書きしない,つりざお／なみのり入手後
トーホク本編・DexNav,全般,マップ別隠し6系統,通常0%／検索時100%,連鎖で隠れ特性、タマゴ技、色違い率を段階解禁,フィールドスキャナ入手後
トーホク殿堂入り再訪,全般,追加6枠＋中間進化2枠,12～40%,既存レベル帯とは別の高レベル表をフラグで選択,初回殿堂入り後
トーホク大量発生,全般,1系統,20～35%,日替わりではなくゲーム内歩数／殿堂入り更新で更新可能,研究ランク1～
カントー通常草むら,陸上,12枠,新種40～55%／原作系45～60%,原作らしさを残すためポッポ・コラッタ等の象徴枠を最低4枠維持,カントー入場後
カントー洞窟,陸上・岩砕き,12枠＋5枠,新種35～55%,イシツブテ・ズバット等を残し、地形適応種を追加,エリア解禁後
カントー水上／釣り,水上・釣り,5枠／10枠,新種45～65%,コイキング・メノクラゲ系の象徴枠を最低2枠維持,つりざお／なみのり所持
カントー夜間,陸上差替,最大4枠,夜間追加8～15%,昼の原作種を完全に消さず、上位2～4枠だけ差替,カントー入場後
カントーDexNav,全般,マップ別隠し6系統,通常0%／検索時100%,高レベル・隠れ特性・タマゴ技の再捕獲場所,カントー入場後
サファリ（両地方）,陸上・水上,地域別12枠,新種50～75%,捕獲難度ではなく観察・餌・ボール選択で差別化,各地方のサファリ解禁
固定イベント,固定シンボル,1体,1回,倒した場合は研究所で再起動。捕獲フラグは地方共通,イベント条件達成
伝説・UB・パラドックス,固定／裂け目,個別,通常野生0%,捕獲は1体のみ。副地方は手掛かり、再戦、素材報酬,最終ポストゲーム
