event_arc,title,host_key,unlock_key,summary
ARC_LEGACY_GUARDIANS,ベガ遺産の守護者,HOST_LEGACY_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE,既存ベガイベントを保持し、捕獲済み共有ledgerと撃破救済だけを共通化。物理入口未確認種にはカントー記録端末から再戦入口を付ける。
ARC_JOHTO_TIME,時渡りと三獣,HOST_JOHTO_TIME,UNLOCK_HALL_OF_FAME,時のかけらと足跡記録を集め、時渡りの庭と三獣の共鳴を順次開く。
ARC_ANCIENT_GIANTS,古代巨人の封印,HOST_ANCIENT_GIANTS,UNLOCK_HALL_OF_FAME,点字石板を一つの調査盤へ納品。各レジは個別選択でき、捕獲後も残りを継続。
ARC_HOENN_RESONANCE,海・陸・空と星,HOST_HOENN_SPACE,UNLOCK_HALL_OF_FAME,環境試料、隕石、星片を同じ研究端末へ集約し、天候・宇宙系を別々の短い入口で起動。
ARC_SINNOH_RIFT,湖と時空の裂け目,HOST_LAKE_RIFT,UNLOCK_HALL_OF_FAME,三湖の記憶から時空・反転・月・創世へ進む。アルセウスは他アーク完了数で最終解禁。
ARC_UNOVA_OATH,聖剣・四風・白黒炉心,HOST_SWORDS,UNLOCK_HALL_OF_FAME,道場の調査帳から聖剣、四風、白黒、旋律、設計図の小章を選択。
ARC_KALOS_BALANCE,生命・破壊・秩序,HOST_KALOS_BALANCE,UNLOCK_RESEARCH_RANK_4,森の生態計から三軸の均衡を回復。鉱脈、輪、蒸気の補助章も同じ台帳で管理。
ARC_ALOLA_LIGHT,四島と星雲の子,HOST_ALOLA_LIGHT,UNLOCK_HALL_OF_FAME,四守護神、コスモッグ二体枠、ネクロズマ、人工生命を光量計で分岐管理。
ARC_ULTRA_BREACH,ウルトラホール調査,HOST_ULTRA_BREACH,UNLOCK_BEAST_BALL,Silph観測器で対象を一体ずつ指定。各UBは個別ledgerで重複せず、撃破・逃走後は再選択可能。
ARC_MELTAN_FORGE,金属生命の炉,HOST_FUTURE_CORE,UNLOCK_HALL_OF_FAME,メルタンを保護し、反復入手できる合金でメルメタル進化を保証。
ARC_GALAR_CROWN,双王・双拳・雪原,HOST_GALAR_CROWN,UNLOCK_SPHERE_RUINS_CLEAR,武具、巻物、巨人、雪原を一つの王冠記録から選択。ダクマは一体、全国種ウーラオス完成を保証。
ARC_HISUI_MEMORY,ヒスイの記憶,HOST_RUINOUS_SEALS,UNLOCK_RESEARCH_RANK_4,古い進化条件とラブトロスの記憶を復元。RTC不要の代替証明を併設。
ARC_RUINOUS_SEALS,災いの四封,HOST_RUINOUS_SEALS,UNLOCK_SPHERE_RUINS_CLEAR,四つの封印を個別解除。捕獲済みの封印は閉じたまま、未捕獲だけ再起動。
ARC_PARADOX_PAST,過去の時代裂け目,HOST_ANCIENT_GIANTS,UNLOCK_PARADOX_RESEARCH,古代側10種を研究盤で個別指定。通常野生枠を圧迫せず固定遭遇で処理。
ARC_PARADOX_FUTURE,未来の時代裂け目,HOST_FUTURE_CORE,UNLOCK_PARADOX_RESEARCH,未来側10種を発電所端末で個別指定。通常野生枠を圧迫せず固定遭遇で処理。
ARC_KITAKAMI_MASK,仮面祭とくさりもち,HOST_KITAKAMI_MASK,UNLOCK_RESEARCH_RANK_5,ともっこ、オーガポン、モモワロウを祭具記録から段階解禁。
ARC_AREA_ZERO_CORE,過去と未来の走者,HOST_AREA_ZERO,UNLOCK_PARADOX_RESEARCH,パラドックス各側の調査完了でコライドン／ミライドンを個別解禁。
ARC_FINAL_CREATION,結晶と創世,HOST_FINAL_CREATION,UNLOCK_TERA_ORB,テラパゴスと最終創世イベント。base種だけを完成条件とし戦闘形態は除外。
ARC_STARTER_RESEARCH,オーキド研究タマゴ,HOST_STARTER_LAB,UNLOCK_KANTO_EARLY_ACCESS,世代別リストから研究タマゴを一種ずつ受領。未接続11種は必須導線、既存13種は登録済み救済。
ARC_REGIONAL_NURSERY,リージョン育成研究,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,別全国種への進化に必要な恒常リージョンフォーム10種を一度ずつ供給。
ARC_FOSSIL_RESEARCH,復元研究台帳,HOST_FOSSIL_LAB,UNLOCK_FOSSIL_SERVICE,公式化石13系統とベガ化石3系統を素材単位で復元。素材消費は受取と台帳保存の成功後。
ARC_VEGA_LEGACY_ARCHIVE,ベガ固有記録の復旧,HOST_LEGACY_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE,既存トーホクイベントの意味を保持し、入口未確認時だけカントー側に一度限りの救済を出す。
ARC_EVOLUTION_SUPPORT,現代進化条件サポート,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,技、時間、累積値、指定場所など13種の現代条件を可視化し、RTCなし・counter未実装時の代替を提供。
ARC_TRADE_EMULATOR,通信進化シミュレータ,HOST_TRADE_EMULATOR,UNLOCK_LINK_CORD_SERVICE,通信交換30 edgeを一人用の標準party選択とつながりのヒモで安全に再現。
ARC_RTC_FALLBACK,せいたいレーダー時刻固定,HOST_MISC_NATURE,UNLOCK_HALL_OF_FAME,AUTO／朝昼／夜／群れ／隠れの既存レーダーモードを利用し、RTC停止時の詰みを防ぐ。
