story_phase,trainer_role,level_floor,level_cap,party_size_min,party_size_max,iv_policy,ev_policy,ai_profile_policy,item_policy,allowed_gimmicks,max_primary_gimmicks,design_goal,notes
TOHOKU_PROLOGUE_PRE_GYM1,GENERAL_OR_OPTIONAL,3,11,2,6,IV 8-18; boss ace up to 20,EV 0_TO_84; onboarding remains readable,AI_SEMI_SMART; strong/rematch may use AI_FULL_SMART; Stage34 current rows preserve source AI,simple berries/role items; one-use sustain; no locked special item,NONE,0,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_PROLOGUE_PRE_GYM1,MANDATORY_OR_REMATCH,3,11,3,6,IV 8-18; boss ace up to 20,EV 0_TO_84; onboarding remains readable,AI_SEMI_SMART; strong/rematch may use AI_FULL_SMART; Stage34 current rows preserve source AI,simple berries/role items; one-use sustain; no locked special item,"NONE; selected REMATCH_CAPSTONE may use MEGA after HOF, Z_MOVE after HOF+CERT4, TERASTAL/DYNAMAX after KANTO_LEAGUE_CLEAR",1,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_PROLOGUE_PRE_GYM1,RIVAL_GYM_LEAGUE_BOSS,3,11,4,6,IV 8-18; boss ace up to 20,EV 0_TO_84; onboarding remains readable,AI_SEMI_SMART; strong/rematch may use AI_FULL_SMART; Stage34 current rows preserve source AI,simple berries/role items; one-use sustain; no locked special item,NONE,0,"deliberate difficulty peak: six-member role compression, legal full-smart AI, readable ace, and no single-answer check",individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE1_TO_2,GENERAL_OR_OPTIONAL,8,20,3,6,IV 16-24; boss ace up to 26,ROLE_84_TO_168; one/two relevant stats only,AI_SEMI_SMART for ordinary; AI_FULL_SMART for mandatory/rematch/boss; Stage34/UNKNOWN preserve source,simple berries/role items; one-use sustain; no locked special item,NONE,0,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE1_TO_2,MANDATORY_OR_REMATCH,8,20,4,6,IV 16-24; boss ace up to 26,ROLE_84_TO_168; one/two relevant stats only,AI_SEMI_SMART for ordinary; AI_FULL_SMART for mandatory/rematch/boss; Stage34/UNKNOWN preserve source,simple berries/role items; one-use sustain; no locked special item,"NONE; selected REMATCH_CAPSTONE may use MEGA after HOF, Z_MOVE after HOF+CERT4, TERASTAL/DYNAMAX after KANTO_LEAGUE_CLEAR",1,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE1_TO_2,RIVAL_GYM_LEAGUE_BOSS,8,20,5,6,IV 16-24; boss ace up to 26,ROLE_84_TO_168; one/two relevant stats only,AI_SEMI_SMART for ordinary; AI_FULL_SMART for mandatory/rematch/boss; Stage34/UNKNOWN preserve source,simple berries/role items; one-use sustain; no locked special item,NONE,0,"deliberate difficulty peak: six-member role compression, legal full-smart AI, readable ace, and no single-answer check",individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE2_TO_3,GENERAL_OR_OPTIONAL,17,29,4,6,IV 22-28; boss/rematch ace up to 31,"ROLE_252_TO_360; two relevant stats, no arbitrary bulk maxing",AI_SEMI_SMART for ordinary; AI_FULL_SMART for mandatory/rematch/boss; Stage34/UNKNOWN preserve source,2-4 legal role items; choice/lock items only with readable counterplay; no unlock-inactive special item,NONE,0,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE2_TO_3,MANDATORY_OR_REMATCH,17,29,5,6,IV 22-28; boss/rematch ace up to 31,"ROLE_252_TO_360; two relevant stats, no arbitrary bulk maxing",AI_SEMI_SMART for ordinary; AI_FULL_SMART for mandatory/rematch/boss; Stage34/UNKNOWN preserve source,2-4 legal role items; choice/lock items only with readable counterplay; no unlock-inactive special item,"NONE; selected REMATCH_CAPSTONE may use MEGA after HOF, Z_MOVE after HOF+CERT4, TERASTAL/DYNAMAX after KANTO_LEAGUE_CLEAR",1,mandatory fairness plus identity continuity; post-unlock capstone may add one mechanic and a full six-role team,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE2_TO_3,RIVAL_GYM_LEAGUE_BOSS,17,29,6,6,IV 22-28; boss/rematch ace up to 31,"ROLE_252_TO_360; two relevant stats, no arbitrary bulk maxing",AI_SEMI_SMART for ordinary; AI_FULL_SMART for mandatory/rematch/boss; Stage34/UNKNOWN preserve source,2-4 legal role items; choice/lock items only with readable counterplay; no unlock-inactive special item,NONE,0,"deliberate difficulty peak: six-member role compression, legal full-smart AI, readable ace, and no single-answer check",individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
TOHOKU_BADGE3_TO_4,GENERAL_OR_OPTIONAL,26,38,4,6,IV 22-28; boss/rematch ace up to 31,"ROLE_252_TO_360; two relevant stats, no arbitrary bulk maxing",AI_FULL_SMART by default; protected/UNKNOWN rows preserve source; no hidden-information cheating,2-4 legal role items; choice/lock items only with readable counterplay; no unlock-inactive special item,NONE,0,high-pressure but map-diverse party with at least two win conditions and two broad counterplay routes,individual directive is authoritative; target size may exceed source V5 except Stage34 current/protected/UNKNOWN; selected rematch capstone branch is gated as a whole; advanced EV/nature/ability fields require final ABI support or IV/move/item fallback; no player-level scaling.
