supply_route_key,supply_kind,symbolic_resource_keys,source_event_key,host_key,unlock_key,repeatability,no_rtc_no_trade_policy,runtime_status,exact_rom_audit,notes
SUPPLY_ITEM_CATALOG_AUDIT,ITEM_SET,all evolution items referenced by evolution master,EVENT_TRADE_EMULATOR_SERVICE|EVENT_FOSSIL_RESEARCH_SERVICE,HOST_TRADE_EMULATOR|HOST_FOSSIL_LAB,UNLOCK_KANTO_EARLY_ACCESS,REPEATABLE_OR_BUYABLE,no external trade; items never one-time-only without recovery,DESIGN_COMPLETE_EXACT_ROM_SUPPLY_AUDIT_REQUIRED,resolve every item key to manifest and prove shop/drop/quest repeatability,validator blocks IMPLEMENTED_AND_TESTED until all item rows are supplied.
SUPPLY_FRIENDSHIP_SERVICES_EXISTING,FRIENDSHIP,existing friendship mechanics,,,UNLOCK_NEW_GAME,REPEATABLE,walking/items/leveling; no external dependency,EXISTING_ENGINE_AUDIT_REQUIRED,"friendship increase, evolution trigger, save/reload",
SUPPLY_PLACE_OR_TOKEN_AUDIT,PLACE_OR_FALLBACK_TOKEN,allocator-resolved place keys / evolution proof tokens,EVENT_EVOLUTION_SUPPORT_NATIONAL_0867,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,REPEATABLE,place unsupported時のみtoken fallback,READY_TO_INTEGRATE_WITH_ROM_HOOK_AUDIT,place check hook and token consumption atomicity,
SUPPLY_FORM_PARTY_CONDITION_AUDIT,FORM_OR_PARTY,required form/party species keys,,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,REPEATABLE,forms supplied in same ROM,DESIGN_COMPLETE_EXACT_ROM_AUDIT_REQUIRED,form ID and party predicate resolver,
SUPPLY_MOVE_TWIN_BEAM,MOVE_TUTOR,MOVE_KEY_TWIN_BEAM,EVENT_EVOLUTION_SUPPORT_NATIONAL_0981,HOST_MOVE_TUTOR,UNLOCK_MOVE_CONDITION_TUTOR,REPEATABLE,move tutor,READY_TO_INTEGRATE,"move key, learn legality, evolution after level-up",
SUPPLY_MOVE_HYPER_DRILL,MOVE_TUTOR,MOVE_KEY_HYPER_DRILL,EVENT_EVOLUTION_SUPPORT_NATIONAL_0982,HOST_MOVE_TUTOR,UNLOCK_MOVE_CONDITION_TUTOR,REPEATABLE,move tutor,READY_TO_INTEGRATE,"move key, learn legality, evolution after level-up",
SUPPLY_BLACK_AUGURITE,ITEM,ITEM_KEY_BLACK_AUGURITE,EVENT_EVOLUTION_SUPPORT_NATIONAL_0900,HOST_FOSSIL_LAB,UNLOCK_FOSSIL_SERVICE,REPEATABLE,same-ROM research reward,READY_TO_INTEGRATE,item symbol allocation and use effect,
SUPPLY_REGIONAL_FORM_BASCULIN_H,REGIONAL_FORM_EGG,SPECIES_KEY_BASCULIN_H,EVENT_REGIONAL_EGG_1424,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,ONCE_PER_FORM_WITH_NONCONSUMING_RETRY,same-ROM egg,READY_TO_INTEGRATE,form ID preserved in egg and evolution predicate,completion weight 0; required only as enabling input.
SUPPLY_REGIONAL_FORM_CORSOLA_G,REGIONAL_FORM_EGG,SPECIES_KEY_CORSOLA_G,EVENT_REGIONAL_EGG_1406,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,ONCE_PER_FORM_WITH_NONCONSUMING_RETRY,same-ROM egg,READY_TO_INTEGRATE,form ID preserved in egg and evolution predicate,completion weight 0; required only as enabling input.
SUPPLY_REGIONAL_FORM_FARFETCHD_G,REGIONAL_FORM_EGG,SPECIES_KEY_FARFETCHD_G,EVENT_REGIONAL_EGG_1398,HOST_REGIONAL_NURSERY,UNLOCK_REGIONAL_NURSERY,ONCE_PER_FORM_WITH_NONCONSUMING_RETRY,same-ROM egg,READY_TO_INTEGRATE,form ID preserved in egg and evolution predicate,completion weight 0; required only as enabling input.
