audit_id,city_or_route,map_or_facility,npc_or_object,reuse_policy,removed_original_logic,new_function,unlock_requirement,dedicated_flag_or_var,implementation_scale
K-NPC01,マサラタウン,オーキド研究所,オーキド博士・助手・研究端末,配置と研究所内装を再利用,最初の3匹／図鑑授与処理は削除,国際生態登録、トーホクで選ばなかった御三家タマゴ、二地方図鑑評価,カントー到着時,FLAG_KANTO_ENTRY,中
K-NPC02,マサラタウン,ライバルの家,姉・地図NPC,配置を再利用,タウンマップ授与は削除,カントー生態マップと大量発生情報の閲覧,カントー到着時,VAR_KANTO_SWARM,小
K-NPC03,トキワシティ,路上の老人,捕獲チュートリアル老人,立ち位置と実演演出を再利用,初歩的捕獲チュートリアルは削除,DexNav、隠れ特性、連鎖、オーバーレイ抽選の上級講習,研究ランク0,FLAG_DEXNAV_TUTORIAL,小
K-NPC04,トキワシティ,トレーナーズスクール,教師・生徒,NPC配置を再利用,状態異常の初歩説明を短縮,現代特性、フィールド、テラスタル相性の講義と確認戦,認定章2個,FLAG_KANTO_SCHOOL_ADV,小
K-NPC05,ニビシティ,博物館1F/2F,受付・研究員・見学客,内装とNPC配置を再利用,原作の月の石展示台詞を更新,二地方合同化石研究、化石鑑定、メテノ大量発生の予報,カントー到着時,VAR_FOSSIL_RESEARCH,中
K-NPC06,ニビシティ,ジム前案内人,ジム案内NPC,立ち位置を再利用,初心者向け案内を変更,トーホクチャンピオンにも認定章が必要と説明,カントー到着時,FLAG_KANTO_GYM_GUIDE,小
K-NPC07,ハナダシティ,自転車店,店主,店舗とカウンターを再利用,自転車引換券処理を削除,ダブルボード強化、移動系フィールド技の登録、歩数進化計測器,認定章2個,FLAG_BOARD_UPGRADE,中
K-NPC08,ハナダシティ,民家・庭,交換NPC,配置を再利用,原作交換内容を変更,トーホク固有種とカントー新種の研究交換。交換対象は図鑑完成に必須にしない,認定章2個,VAR_RESEARCH_TRADE,小
K-NPC09,クチバシティ,ポケモンだいすきクラブ,会長・会員,内装と会話順を再利用,自転車引換券を削除,なつき、証、フォルム、地域進化の解説。なつき系進化道具を報酬,カントー到着時,FLAG_FANCLUB_REWARD,小
K-NPC10,クチバシティ,サント・アンヌ号,船長・乗客・船員,船マップとNPC配置を大部分再利用,ひでんマシン01授与を削除,国際船上トーナメント、地方御三家・リージョンフォームの展示戦,認定章2個,FLAG_SS_ANNE_TOURNEY,大
K-NPC11,シオンタウン,ポケモンタワー,祈祷師・フジ老人相当NPC,塔の階層とNPC配置を再利用,ロケット団救出・シルフスコープ必須を削除,霊的生態調査、ヤバチャ・ボチ・ゾロアHの夜間解禁、鎮魂灯イベント,認定章3個,FLAG_TOWER_MEMORIAL,中
K-NPC12,シオンタウン,ボランティアハウス,世話係NPC,内装を再利用,ポケモンのふえ授与を削除,倒した固定ポケモンの再戦受付、手持ち満杯時の受け取り救済,認定章3個,VAR_EVENT_RETRY,小
K-NPC13,タマムシシティ,デパート,各階店員,全店員と売場を再利用,原作商品表を差し替え,ボール、ミント、進化石、対戦道具、テラピースを認定章数で段階販売,認定章3個,VAR_KANTO_SHOP_TIER,中
K-NPC14,タマムシシティ,ゲームコーナー跡,受付・景品交換員,内装と景品カウンターを再利用,賭博スロットとロケット団導線を削除,BP制ミニゲーム、レンタルファクトリー、アメざい・メモリ交換,認定章4個,FLAG_CELADON_FACILITY,大
K-NPC15,タマムシシティ,ロケットだんアジト跡,元団員・シルフ技師,回転床・地下構造を再利用,ロケット団本編を削除,放棄された人工ポケモン救出、ブロロン・ギアル・ゴビット等の異常遭遇,認定章4個,FLAG_HIDEOUT_RESCUE,中
K-NPC16,セキチクシティ,サファリ園長宅,園長・助手,配置と園長宅を再利用,きんのいれば捜索を削除,国際サファリ許可証、餌・観察・希少個体の説明、日替わり区画更新,認定章5個,FLAG_INTL_SAFARI,中
K-NPC17,サファリゾーン,秘密の家,研究員,建物と到達報酬演出を再利用,ひでんマシン03授与を削除,特性カプセル、サファリ研究ランク、追加御三家区画の開放,サファリ調査3件,FLAG_SAFARI_SECRET,小
K-NPC18,ヤマブキシティ,かくとうどうじょう,師範・門下生,道場と5連戦構造を再利用,サワムラー／エビワラー二択を変更,全国格闘チャレンジ。ナゲツケサル、タイレーツ、ルチャブル、ダクマ関連試練,認定章5個,FLAG_DOJO_CHALLENGE,中
K-NPC19,ヤマブキシティ,ものまね娘の家,ものまね娘,配置を再利用,ものまね技だけの報酬を拡張,メタモン・ミミッキュ・ゾロアークHの擬態調査。フォルム図鑑機能を解禁,認定章5個,FLAG_COPYCAT_RESEARCH,小
K-NPC20,ヤマブキシティ,シルフカンパニー,社長・研究員・警備員,11階構造とワープパネルを再利用,ロケット団占拠・カードキー本編を削除,デジタル汚染事件。ロトム・ポリゴン・未来種の隔離、ボール研究,認定章6個,FLAG_SILPH_ANOMALY,大
K-NPC21,グレンタウン,ポケモン研究所,研究員・交換NPC,研究所各室を再利用,原作交換と単一化石復元を更新,全化石復元、遺伝子安定化、リージョンフォーム再現、復元レベル再調整,認定章6個,FLAG_CINNABAR_LAB,中
K-NPC22,グレンタウン,ポケモンやしき,研究記録・像スイッチ,マップ仕掛けを再利用,ひみつのカギ必須化を削除,カルボウ、ヤトウモリ、ブビィ等の熱適応調査。最深部で遺伝子記録回収,認定章6個,FLAG_MANSION_ARCHIVE,中
K-NPC23,12/16ばんどうろ,眠る大型ポケモン地点,カビゴン固定シンボル,シンボル位置と起床演出を再利用,道路封鎖の必須進行を削除,任意の高難度固定戦。個体はカビゴンまたは日替わりでネッコアラ／ケッキング系,認定章4個,VAR_SLEEPING_MON,小
