region,map_code,map_name,order,progress_stage,unlock_requirement,recommended_level_range,biome_tags,encounter_modes,legacy_policy,legacy_species_pool,target_new_species_share,story_overlay_rate,postgame_overlay_rate,evolved_wild_policy,narrative_role,new_family_count,new_common_pool,new_night_pool,new_water_fishing_pool,new_rocksmash_headbutt_pool,new_dexnav_pool,new_outbreak_pool,additional_evolution_pool,rotation_rule,hidden_ability_policy,existing_slot_protection,linked_event_ids,linked_event_titles
カントー,K01,1ばんどうろ,1,カントー序盤,カントー到着後,Lv.68～72,草原／里山／朝昼,草むら／朝昼／夜／DexNav／大量発生,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,ポッポ、コラッタ,新種45%,通常表35～45%,再戦後50～60%,基礎種＋中間進化10%,原作らしい最初の道と新世代序盤鳥・小動物,8,ヨーテリー、ヤヤコマ、パモ,―,―,―,―,ワシボン、ホシガリス、グルトン,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K02,2ばんどうろ,2,カントー序盤,カントー到着後,Lv.69～73,草原／森の縁／花畑,草むら／朝昼／夜／DexNav／ずつき,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,ポッポ、コラッタ、キャタピー、ビードル,新種45%,通常表35～45%,再戦後50～60%,基礎種＋中間進化10%,トキワの森との生態回廊,10,―,サボネア、バケッチャ,―,ハネッコ、ヒマナッツ、ヘラクロス、キノココ、ミノムッチ、ミツハニー、シキジカ、ココガラ,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K03,3ばんどうろ,3,認定章1前後,ニビ調査登録,Lv.71～75,岩山の麓／乾燥草原／花畑,草むら／夜／DexNav／大量発生,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,オニスズメ、マンキー、プリン,新種45%,通常表35～45%,再戦後50～60%,基礎種＋中間進化10%,おつきみやま前の高地生態,14,ホーホー、ツボツボ、イシズマイ,ツチニン、バルチャイ、マメバッタ,―,―,トゲピー,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K04,4ばんどうろ,4,認定章1前後,おつきみやま通過,Lv.72～77,岩山の出口／河岸／草原,草むら／水上／釣り／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,オニスズメ、コラッタ、アーボ／サンド,新種45%,通常表35～45%,再戦後50～60%,基礎種＋中間進化10%,化石層からハナダ水系へ接続,7,グライガー、ヒメグマ、ムックル、ホルビー、ヌイコグマ、ジジーロン,―,―,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K05,5ばんどうろ,5,認定章2前後,ハナダ認定後,Lv.74～79,街道／牧草地／都市近郊,草むら／朝昼／夜／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,ポッポ、ニャース、ナゾノクサ／マダツボミ,新種45%,通常表35～45%,再戦後50～60%,中間進化15%,ヤマブキ外縁の都市適応種,12,ミルタンク、ゴニョニョ、エネコ、カクレオン、ニャルマー、ニャスパー、ワッカネズミ、パピモッチ,―,―,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K06,6ばんどうろ,6,認定章2前後,ハナダ認定後,Lv.75～80,街道／湿地縁／クチバ近郊,草むら／水上／釣り／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,ポッポ、ニャース、ナゾノクサ／マダツボミ,新種45%,通常表35～45%,再戦後50～60%,中間進化15%,クチバ港へ向かう外来水辺種,7,ハブネーク、グレッグル、タマゲタケ,―,ウパー、ビッパ、ヒドイデ、カムカメ,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K07,7ばんどうろ,7,認定章3前後,クチバ認定後,Lv.78～83,都市近郊／夜道／花壇,草むら／夜／DexNav／大量発生,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,ポッポ、ニャース、ロコン／ガーディ、ナゾノクサ／マダツボミ,新種50%,通常表40～50%,再戦後55～65%,中間進化15%,タマムシの都市・夜行性生態,6,シルシュルー,ヤンチャム、クスネ、モルペコ,―,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K08,8ばんどうろ,8,認定章3前後,クチバ認定後,Lv.79～84,街道／墓地近郊／夜,草むら／夜／DexNav／大量発生,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,ポッポ、ニャース、ロコン／ガーディ、アーボ／サンド,新種50%,通常表40～50%,再戦後55～65%,中間進化15%,シオンへ向かう霊的生態,11,ムンナ,ポチエナ、カゲボウズ、ヨマワル、アブソル、フワンテ、ミカルゲ、ズルッグ、マーイーカ、ミミッキュ、オラチフ,―,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K09,9ばんどうろ,9,認定章2～3,ハナダ北東解禁,Lv.77～82,岩山／峡谷／草地,草むら／いわくだき／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,コラッタ、オニスズメ、アーボ／サンド,新種50%,通常表40～50%,再戦後55～65%,中間進化15%,イワヤマトンネル西側の山岳種,5,ドッコラー、ナゲキ、コジョフー、ルチャブル、ナゲツケサル,―,―,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K10,10ばんどうろ,10,認定章2～3,ハナダ北東解禁,Lv.78～84,川岸／岩山／発電所近郊,草むら／水上／釣り／夜／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,コラッタ、オニスズメ、アーボ／サンド、ビリリダマ,新種50%,通常表40～50%,再戦後55～65%,中間進化15%,発電所と水系の混合生態,11,ラクライ、プラスル、パチリス、シママ、エモンガ、マッギョ、エリキテル、ワンパチ,―,―,―,―,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
カントー,K11,11ばんどうろ,11,認定章2～3,クチバ到着,Lv.76～82,海岸／草原／洞窟口,草むら／水上／釣り／夜／DexNav,原作FRの象徴種を35～60%残し、残りを新世代種へ再編,オニスズメ、アーボ／サンド、スリープ,新種50%,通常表40～50%,再戦後55～65%,中間進化15%,ディグダの穴・港湾・海鳥の接点,10,エアームド、チルット、オンバット、イキリンコ、カイデン,ヤミカラス,コアルヒー,―,タマンタ,―,―,候補をA/B/Cの3組に分け、入場時またはゲーム内日付で1組だけ通常出現。DexNav・大量発生・固定イベントは別枠。1回の表に載せる新系統は最大6。,カントーはDexNav連鎖10以上で10%、トーホクは殿堂入り後かつ連鎖20以上で5%。,トーホクは既存11/12枠へ直接書き込まない。カントーは原作象徴種の最低35%を保持。,なし,なし
