feature,priority,decision,integration,risk_control
種族・フォーム拡張,必須/P0,移植,DPE-JPのデータ基盤をベガID保持方式へ改造,最重要。全国番号と内部IDを分離。
現代技・特性・道具,必須/P0,移植,ベガ固有技・特性・道具IDを先に固定して後段追加,名称・効果・アニメ・AIを一体で監査。
物理・特殊分類／フェアリー,必須/P0,移植,CFRU方式を採用し、既存ベガ技を再分類,全トレーナー技構成を回帰試験。
新進化方法,必須/P0,移植,通信・RTC・マルチ必須を単独プレイ救済へ変換,進化条件CSVを正本にする。
図鑑ナビ,推奨/P1,移植,外来生態レイヤーの主要UI,既存野生11枠を守る。
昼夜・季節,推奨/P1,限定採用,出現・雰囲気に利用。生態チケットで待ち時間を回避,RTC未設定時の既定時間を定義。
大量発生,推奨/P1,移植,全国図鑑種の反復入手レイヤー,TV通知とスキャナ一覧の両方で確認可。
メガシンカ,推奨/P2,終盤解禁,バッジ6個以降、敵は幹部・再戦のみ,ベガ本編難度を壊さない。
Zワザ,任意/P2,サブクエスト,バッジ7個以降,他ギミックと排他。
ダイマックス／レイド,任意/P2,施設限定,殿堂入り後の指定マップのみ,通常マップ座標・戦闘背景への侵入を禁止。
テラスタル,任意/P2,ポストゲーム中心,スフィアいせき後,ステラ等の例外を個別試験。
AI強化,必須/P1,移植,既存トレーナークラス別に段階設定,序盤トレーナーが最適化し過ぎないよう制限。
レベルスケーリング,任意/P2,再戦・レイドのみ,初回ストーリーでは固定レベル,ベガの攻略曲線を保持。
再使用TM／技思い出し拡張,推奨/P1,移植,ラピスラ・シオウの既存NPCへ統合,既存技マシン番号を保護。
PCボックス拡張,必須/P1,移植,1025種＋フォーム運用に必要,セーブブロック再設計、新規セーブ推奨。
セーブブロック拡張,必須/P0,再設計,CFRU既定をそのまま当てずベガ変数と統合,旧セーブ非互換を明記。
追従ポケモン,後回し/P3,原則無効,マップ・OW資源との競合が大きい,安定版後の別ブランチ。
キャラ着せ替え,後回し/P3,原則無効,ストーリー演出・OWパレット競合,安定版後。
トリプルレイヤーブロック,後回し/P3,無効,ベガマップ資産と高競合,新規マップで必要な場合のみ。
新フィールド技,任意/P3,限定採用,新規小部屋のロッククライム等のみ,既存進行フラグに使わない。
サファリ拡張,推奨/P2,移植,全国生態保護区の基盤,既存サファリの景品・歩数を維持。
ミラージュ施設拡張,推奨/P2,統合,BP・現代対戦・レイドのハブ,本編後の育成導線を集約。
徘徊ポケモン,任意/P2,最小限,救済しやすい1体だけ,基本は固定戦を優先。
色違い・証,任意/P2,採用,おまもりと研究報酬へ,イベント個体のロック方針を明示。
4桁HP／4桁図鑑番号,推奨/P1,移植,1025種表示に必要,全画面の文字幅とDMAを検証。
