national_no,name,group,vega_existing,event_arc,location,unlock_requirement,event_flow,repeatability,capture_safety
144,フリーザー,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
145,サンダー,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
146,ファイヤー,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
150,ミュウツー,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
151,ミュウ,幻,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
243,ライコウ,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
244,エンテイ,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
245,スイクン,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
249,ルギア,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
250,ホウオウ,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
251,セレビィ,幻,no,時渡りの庭,ときのようかん,殿堂入り＋ときのかけら3個,館内の時計を3つ直すと庭が出現し、セレビィと固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
377,レジロック,伝説,no,古代巨人の封印,ちえのどうくつ／こおりのしま／D・H炉心,殿堂入り＋点字石板3枚,三つの石室を順に解放。全捕獲でレジギガス条件を立てる。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
378,レジアイス,伝説,no,古代巨人の封印,ちえのどうくつ／こおりのしま／D・H炉心,殿堂入り＋点字石板3枚,三つの石室を順に解放。全捕獲でレジギガス条件を立てる。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
379,レジスチル,伝説,no,古代巨人の封印,ちえのどうくつ／こおりのしま／D・H炉心,殿堂入り＋点字石板3枚,三つの石室を順に解放。全捕獲でレジギガス条件を立てる。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
380,ラティアス,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
381,ラティオス,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
382,カイオーガ,伝説,no,海・陸・空の共鳴,こおりのしま沖／ひのしま深部／スフィアいせき上層,殿堂入り＋各島の環境調査,天候を正常化する短いダンジョン後に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
383,グラードン,伝説,no,海・陸・空の共鳴,こおりのしま沖／ひのしま深部／スフィアいせき上層,殿堂入り＋各島の環境調査,天候を正常化する短いダンジョン後に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
384,レックウザ,伝説,no,海・陸・空の共鳴,こおりのしま沖／ひのしま深部／スフィアいせき上層,殿堂入り＋各島の環境調査,天候を正常化する短いダンジョン後に固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
385,ジラーチ,幻,no,星の祈り,ニューアイランド天文台,殿堂入り＋ほしのかけら7個,夜空観測イベント。RTCなしでも観測装置で夜に固定可能。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
386,デオキシス,幻,no,隕石DNA,D・H異常生態区画,殿堂入り＋いんせき入手,培養槽停止後に固定戦。フォルムは隕石端末で変更。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
480,ユクシー,伝説,no,湖の記憶,シオウ湖畔／サファリ北湖／ニューアイランド湖,殿堂入り＋三湖の調査,三体は逃走せず固定戦。エムリットのみ短い徘徊演出を選択可。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
481,エムリット,伝説,no,湖の記憶,シオウ湖畔／サファリ北湖／ニューアイランド湖,殿堂入り＋三湖の調査,三体は逃走せず固定戦。エムリットのみ短い徘徊演出を選択可。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
482,アグノム,伝説,no,湖の記憶,シオウ湖畔／サファリ北湖／ニューアイランド湖,殿堂入り＋三湖の調査,三体は逃走せず固定戦。エムリットのみ短い徘徊演出を選択可。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
483,ディアルガ,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
484,パルキア,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
485,ヒードラン,伝説,yes,ベガ既存イベント保持,ベガ既存地点,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
486,レジギガス,伝説,no,巨人王の目覚め,スフィアいせき・巨人の間,6体のレジ系登録,石像に6つの紋章をはめて固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
487,ギラティナ,伝説,no,反転する月,スフィアいせき裏回廊／ときのようかん屋上,殿堂入り＋時空イベント完了,満月と新月を端末で切替え、それぞれ固定戦。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理
