request_key,feature_key,consumer,required_input,required_output,failure_behavior,test_requirement,priority,notes
REQ_GLOBAL_GIMMICK_CONSUMER_SCOPE,FEATURE_TRAINER_MEGA_ONCE|FEATURE_TRAINER_Z_MOVE_ONCE|FEATURE_TRAINER_DYNAMAX_CONTEXT|FEATURE_TRAINER_TERASTAL_CONTEXT,only the 268 non-NONE directive keys,"encounter_key, gimmick type, user slot, unlock expression, item/type metadata, fallback branch",one explicit activation path and deterministic normal-battle fallback,fail closed to NONE_CURRENT_ABI; unrelated battles remain unchanged,all consumer keys activate only when eligible; all 1034 non-consumers preserve normal behavior; one-primary-gimmick invariant,P0,No runtime code is included in this ChangeKit.
REQ_MEGA_SERIALIZER_AI,FEATURE_TRAINER_MEGA_ONCE,86 Mega directives,"eligible species/registered stone, user slot, unlock, source/target AI, fallback item",one legal transformation at a readable ace window,normal form plus legal role item,"pair validity, once-only, switch/faint/end/loss/save-reload, AI timing and no hidden-information read",P0,Final Codex integration and mGBA evidence required.
REQ_Z_MOVE_SERIALIZER_AI,FEATURE_TRAINER_Z_MOVE_ONCE,111 Z-Move directives,"registered crystal, matching damaging base move/type, user slot, unlock, target AI",one legal Z activation with readable damage route and no duplicate use,base move plus legal non-crystal item,"type match/mismatch, immunity, Protect, once-only, end/loss/save-reload, AI not reading hidden switch",P0,Regional tasks must choose exact crystal and base move.
REQ_DYNAMAX_CONTEXT_CLEANUP,FEATURE_TRAINER_DYNAMAX_CONTEXT,4 curated postgame directives,"eligible context, user slot, three-turn counter, HP ratio, move-conversion table, battle format",exactly three turns and deterministic normal-state restoration,no transformation; continue normal six-member battle,"turn expiry, switch/forced switch/faint/end/loss/save-reload and DOUBLE targeting",P0,Rare by policy because ordinary trainer context is not yet exact-ROM proven.
REQ_TERASTAL_TYPE_STAB_CLEANUP,FEATURE_TRAINER_TERASTAL_CONTEXT,67 Tera directives,"user slot, explicit tera type, original typing, move types, unlock","correct defensive typing, STAB, UI, AI evaluation and one activation",original typing and normal STAB,"type chart, STAB, switch/faint/end/loss/save-reload, AI choice and telegraph",P0,No surprise-immunity-only designs.
REQ_REMATCH_CAPSTONE_BRANCH_GATE,FEATURE_REMATCH_CAPSTONE_BRANCH_GATE,186 selected rematch directive rows across 93 identities,"identity/rematch owner, source lower-tier party, capstone party, unlock expression, defeat/rematch flags",lower-tier NONE before unlock and six-member high-level mechanic branch after unlock,retain source lower-tier NONE branch; never expose low-level gimmick encounter,"just-before/after unlock, loss, repeat rematch, save/reload, identity continuity, duplicate encounter variants",P0,Branch ownership must remain with the existing rematch system.
REQ_ADVANCED_STAT_PROFILE_FALLBACK,FEATURE_TRAINER_ADVANCED_STAT_PROFILE,1089 high-challenge non-preserved directives,IV/EV/nature/ability design profile and current ABI capability flags,supported fields serialized legally; unsupported fields translated to bounded level/move/item/AI pressure,reject unsupported field write and use documented fallback; never write adjacent ROM data,"field capability matrix, legality, stat bounds, no six-stat maxing, deterministic fallback",P0,Current source marks some fields catalog-only; this request does not claim they are already live.
REQ_DOUBLE_TARGETING_REGRESSION,FEATURE_STANDARD_TRAINER_BATTLE,73 DOUBLE directives,"battle format, pair/partner ownership, two active roles, spread/protect/support moves, optional one gimmick user","valid ally-safe targeting, coordinated lead, and deterministic replacement after one battler faints",retain source DOUBLE and remove unsupported coordination rather than converting to SINGLE,"ally targeting, spread immunity, Protect/Wide Guard, one-side faint, switch, mechanic activation, end",P1,Two independent SINGLE teams are not an acceptable DOUBLE design.
REQ_UNLOCK_FALLBACK_ITEM_SWAP,FEATURE_STANDARD_TRAINER_BATTLE,all source parties carrying a mechanic-only item outside the selected primary gimmick/unlock,"directive gimmick, progression, source held item, legal registry alternatives",normal role item that preserves tactics without activating a locked mechanic,ITEM_KEY_NONE rather than inactive or illegal special item,unlock false/true item legality for every unresolved held-item row,P0,Affected rows are enumerated in validation/unresolved.csv.
REQ_NO_GLOBAL_LEVEL_SCALING,FEATURE_STANDARD_TRAINER_BATTLE,all 1302 directives,story/certificate band and directive fixed level policy,"fixed authored levels, including gated rematch capstone bands, hard cap 100",reject data that reads player party level for trainer scaling,same encounter levels with low/high player parties; rematch branch changes only on authored unlock,P0,Kanto uses certificate/map population rather than Tohoku or player-level reuse.
