vega_dex_no,name,types,family,stage,intended_role,baseline_source,audit_class,level_up_additions,level_up_retiming,level_up_removals_or_reassignment,tm_additions,tutor_additions,egg_move_additions,vega_custom_move_policy,strong_move_gate,wild_capture_moveset_policy,source_verification,review_confidence
1,リープン,くさ,リープン → リーティン → リーテイル,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,メガドレイン / やどりぎのタネ,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび,グラススライダー,こうごうせい,代表独自技候補: リーフガード,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
2,リーティン,くさ,リープン → リーティン → リーテイル,中間進化,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ギガドレイン / やどりぎのタネ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび,グラススライダー,こうごうせい,代表独自技候補: リーフガード,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
3,リーテイル,くさ／はがね,リープン → リーティン → リーテイル,進化先／単独種,耐久・補助,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ギガドレイン / やどりぎのタネ / こうごうせい / ラスターカノン,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび / ラスターカノン,グラススライダー / アイアンヘッド,こうごうせい / ボディプレス,代表独自技候補: リーフガード / じりょくせん,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
4,ファマー,ほのお,ファマー → ファイマー → ファマイン,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ひのこ / おにび,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,かえんほうしゃ,ねっぷう,にほんばれ,代表独自技候補: マグマアクセル,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
5,ファイマー,ほのお,ファマー → ファイマー → ファマイン,中間進化,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,かえんほうしゃ / おにび,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,かえんほうしゃ,ねっぷう,にほんばれ,代表独自技候補: マグマアクセル,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
6,ファマイン,ほのお／あく,ファマー → ファイマー → ファマイン,進化先／単独種,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ニトロチャージ / かえんほうしゃ / おにび / つじぎり,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,かえんほうしゃ / バークアウト,ねっぷう / はたきおとす,にほんばれ / わるだくみ,代表独自技候補: マグマアクセル / ダークカッター,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
7,アクタシ,みず,アクタシ → レクオレ → タテボーシ,基礎形,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,アクアジェット / みずのはどう,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク,クイックターン,アクアリング,代表独自技候補: アクアボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
8,レクオレ,みず,アクタシ → レクオレ → タテボーシ,中間進化,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,アクアブレイク / なみのり,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク,クイックターン,アクアリング,代表独自技候補: アクアボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
9,タテボーシ,みず／エスパー,アクタシ → レクオレ → タテボーシ,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ハイドロポンプ / あまごい / サイコショック / めいそう,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク / サイコショック,クイックターン / トリック,アクアリング / ひかりのかべ,代表独自技候補: アクアボルト / サイコパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
21,フロン,くさ,フロン → フロルル → フローリア,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,メガドレイン / やどりぎのタネ,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび,グラススライダー,こうごうせい,代表独自技候補: リーフガード,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
