category,item,source_identifier,earliest_gate,acquisition,repeatability,currency_or_price,integration_note
機能解禁,フィールドスキャナ,CUSTOM:フィールドスキャナ,バッジ1個,ハクジ研究所でヒイラギから受取,1回,―,DexNav／生息地検索／大量発生確認をまとめる。
機能解禁,生態チケット,CUSTOM:生態チケット,バッジ2個,各町の調査員依頼、全国生態保護区の受付,反復,調査ポイント1,時間帯・天候・ローテーションを1日固定し、RTC待ちをなくす。
機能解禁,キーストーン,key-stone,バッジ6個,カラスバジム後、D・Hのメガ実験停止イベント,1回,―,メガシンカは本編終盤から。敵使用は幹部・ジム再戦のみ。
機能解禁,Zリング,CUSTOM:Zリング,バッジ7個,三島の試練を1つ達成,1回,―,Zワザは任意サブイベント。1戦1回かつ他ギミックと排他。
機能解禁,ダイマックスバンド,CUSTOM:ダイマックスバンド,殿堂入り,D・H反応炉レイド初回クリア,1回,―,指定レイド・ミラージュ施設のみ使用可。通常トレーナー戦では無効。
機能解禁,テラスタルオーブ,tera-orb,スフィアいせき中盤,結晶層の安定化イベント,1回,―,本編クリア後の主ギミック。通常戦では回復ポイントで再充填。
おまもり,まるいおまもり,oval-charm,全国研究ランク2,ハクジ研究所の孵化研究依頼,1回,―,育て屋・タマゴ入手の高速化。
おまもり,ゆれないおまもり,catching-charm,全国研究ランク3,捕獲研究100種,1回,―,クリティカル捕獲を解禁。
おまもり,ひかるおまもり,shiny-charm,全国研究図鑑900種,研究所の長期報酬,1回,―,トーホク図鑑完成報酬とは分離。
おまもり,けいけんおまもり,exp-charm,殿堂入り,ミラージュバトル初回報酬,1回,―,レベル上げ支援。オン／オフ設定を用意。
おまもり,あかしのおまもり,mark-charm,全国研究ランク4,生態保護区の異名調査,1回,―,証システムを有効化する場合のみ。
進化石,たいようのいし,sun-stone,バッジ3個,シオウシティ露店／ソルロック系調査,反復,5000円または調査ポイント2,初回はフィールド配置、以後は専門店。
進化石,つきのいし,moon-stone,バッジ2個,こころのやかた／月見調査,反復,5000円または調査ポイント2,初回はフィールド配置、以後は専門店。
進化石,ほのおのいし,fire-stone,バッジ4個,ひのしま採掘,反復,5000円または調査ポイント2,初回はフィールド配置、以後は専門店。
進化石,かみなりのいし,thunder-stone,バッジ4個,かみなりのしま発電所,反復,5000円または調査ポイント2,初回はフィールド配置、以後は専門店。
進化石,みずのいし,water-stone,バッジ3個,シオウシティ釣り協会,反復,5000円または調査ポイント2,初回はフィールド配置、以後は専門店。
