encounter_key,gimmick_type,user_party_slot,required_item_key,unlock_expression,ai_activation_policy,runtime_feature_required,runtime_status,fallback_behavior,activation_test,design_reason
ENC_KANTO_BOSS_GYM_01,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_INDOOR_PEWTER_CITY_GYM / KANTO_CERTIFICATION_GYM_LEADER: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_BOSS_GYM_02,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_INDOOR_CERULEAN_CITY_GYM / KANTO_CERTIFICATION_GYM_LEADER: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_BOSS_GYM_03,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_INDOOR_VERMILION_CITY_GYM / KANTO_CERTIFICATION_GYM_LEADER: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_BOSS_GYM_04,NONE,0,ITEM_KEY_NONE,NONE,STANDARD_CURRENT_ABI_ONLY; no hidden information or unassigned mechanic item,NONE_CURRENT_ABI,NO_SPECIAL_RUNTIME_REQUIRED,STANDARD_SIX_MEMBER_BATTLE_UNCHANGED,Assert no Mega/Z/Dynamax/Terastal request and no mechanic item in any slot,"KANTO_INDOOR_CELADON_CITY_GYM / KANTO_CERTIFICATION_GYM_LEADER: progression and identity use party roles, item economy, switching, and two win paths rather than a primary mechanic"
ENC_KANTO_BOSS_GYM_05,MEGA,6,ITEM_KEY_BEEDRILLITE,VEGA_HALL_OF_FAME && KANTO_CERT_COUNT>=4 && RUNTIME_MEGA_TRAINER_READY,unlock true and registered stone ITEM_KEY_BEEDRILLITE is on slot 6 スピアー; activate once when the known battle state improves the declared ace line; never inspect unrevealed moves/items/switch choice,FEATURE_TASK06_KANTO_MEGA_TRAINER,NEEDS_FINAL_CODEX_INTEGRATION,"If unlock/runtime is false, disable MEGA fail-closed, replace ITEM_KEY_BEEDRILLITE with ITEM_KEY_LEFTOVERS (たべのこし), preserve the same species/moves/party order, and do not migrate the mechanic to another slot","Test unlock false/true, slot=6, species=SPECIES_KEY_BEEDRILL, stone=ITEM_KEY_BEEDRILLITE, one activation only, switch/faint/loss/battle-end/save-reload cleanup",KANTO_INDOOR_FUCHSIA_CITY_GYMのKANTO_CERTIFICATION_GYM_LEADERでslot 6 スピアーを明示的な唯一のメガ担当にし、通常時はたべのこしで同一6体・同一役割順を維持する
ENC_KANTO_BOSS_GYM_06,MEGA,6,ITEM_KEY_ALAKAZITE,VEGA_HALL_OF_FAME && KANTO_CERT_COUNT>=4 && RUNTIME_MEGA_TRAINER_READY,unlock true and registered stone ITEM_KEY_ALAKAZITE is on slot 6 フーディン; activate once when the known battle state improves the declared ace line; never inspect unrevealed moves/items/switch choice,FEATURE_TASK06_KANTO_MEGA_TRAINER,NEEDS_FINAL_CODEX_INTEGRATION,"If unlock/runtime is false, disable MEGA fail-closed, replace ITEM_KEY_ALAKAZITE with ITEM_KEY_VEGA_141 (ラムのみ), preserve the same species/moves/party order, and do not migrate the mechanic to another slot","Test unlock false/true, slot=6, species=SPECIES_KEY_ALAKAZAM, stone=ITEM_KEY_ALAKAZITE, one activation only, switch/faint/loss/battle-end/save-reload cleanup",KANTO_INDOOR_SAFFRON_CITY_GYMのKANTO_CERTIFICATION_GYM_LEADERでslot 6 フーディンを明示的な唯一のメガ担当にし、通常時はラムのみで同一6体・同一役割順を維持する
ENC_KANTO_BOSS_GYM_07,MEGA,6,ITEM_KEY_CHARIZARDITE_Y,VEGA_HALL_OF_FAME && KANTO_CERT_COUNT>=4 && RUNTIME_MEGA_TRAINER_READY,unlock true and registered stone ITEM_KEY_CHARIZARDITE_Y is on slot 6 リザードン; activate once when the known battle state improves the declared ace line; never inspect unrevealed moves/items/switch choice,FEATURE_TASK06_KANTO_MEGA_TRAINER,NEEDS_FINAL_CODEX_INTEGRATION,"If unlock/runtime is false, disable MEGA fail-closed, replace ITEM_KEY_CHARIZARDITE_Y with ITEM_KEY_EXPERT_BELT (たつじんのおび), preserve the same species/moves/party order, and do not migrate the mechanic to another slot","Test unlock false/true, slot=6, species=SPECIES_KEY_CHARIZARD, stone=ITEM_KEY_CHARIZARDITE_Y, one activation only, switch/faint/loss/battle-end/save-reload cleanup",KANTO_INDOOR_CINNABAR_ISLAND_GYMのKANTO_CERTIFICATION_GYM_LEADERでslot 6 リザードンを明示的な唯一のメガ担当にし、通常時はたつじんのおびで同一6体・同一役割順を維持する
ENC_KANTO_BOSS_GYM_08,MEGA,6,ITEM_KEY_PIDGEOTITE,VEGA_HALL_OF_FAME && KANTO_CERT_COUNT>=4 && RUNTIME_MEGA_TRAINER_READY,unlock true and registered stone ITEM_KEY_PIDGEOTITE is on slot 6 ピジョット; activate once when the known battle state improves the declared ace line; never inspect unrevealed moves/items/switch choice,FEATURE_TASK06_KANTO_MEGA_TRAINER,NEEDS_FINAL_CODEX_INTEGRATION,"If unlock/runtime is false, disable MEGA fail-closed, replace ITEM_KEY_PIDGEOTITE with ITEM_KEY_EXPERT_BELT (たつじんのおび), preserve the same species/moves/party order, and do not migrate the mechanic to another slot","Test unlock false/true, slot=6, species=SPECIES_KEY_PIDGEOT, stone=ITEM_KEY_PIDGEOTITE, one activation only, switch/faint/loss/battle-end/save-reload cleanup",KANTO_INDOOR_VIRIDIAN_CITY_GYMのKANTO_CERTIFICATION_GYM_LEADERでslot 6 ピジョットを明示的な唯一のメガ担当にし、通常時はたつじんのおびで同一6体・同一役割順を維持する
ENC_KANTO_BOSS_LEAGUE_01,Z_MOVE,6,ITEM_KEY_ICIUM_Z,VEGA_HALL_OF_FAME && KANTO_CERT_COUNT>=4 && RUNTIME_Z_MOVE_TRAINER_READY,unlock true and ITEM_KEY_ICIUM_Z is on slot 6 ラプラス; choose registered base move MOVE_KEY_FREEZEDRY once only when the known type/HP/protect state justifies it; never inspect unrevealed information,FEATURE_TASK06_KANTO_Z_MOVE_TRAINER,NEEDS_FINAL_CODEX_INTEGRATION,"If unlock/runtime is false, disable Z_MOVE fail-closed, replace ITEM_KEY_ICIUM_Z with ITEM_KEY_WEAKNESS_POLICY (じゃくてんほけん), preserve the same species/moves/party order, and do not migrate the mechanic to another slot","Test unlock false/true, slot=6, crystal=ITEM_KEY_ICIUM_Z, base_move=MOVE_KEY_FREEZEDRY, move-type match, one use only, Protect/immunity/bulky-pivot counterplay and switch/faint/loss/battle-end/save-reload cleanup",KANTO_DUNGEON_POKEMON_LEAGUE_LORELEIS_ROOMのKANTO_LEAGUE_BOSSでslot 6 ラプラスのフリーズドライを予告可能な一回打点にし、無効type・Protect・耐久pivotを残す
ENC_KANTO_BOSS_LEAGUE_02,MEGA,6,ITEM_KEY_HERACRONITE,VEGA_HALL_OF_FAME && KANTO_CERT_COUNT>=4 && RUNTIME_MEGA_TRAINER_READY,unlock true and registered stone ITEM_KEY_HERACRONITE is on slot 6 ヘラクロス; activate once when the known battle state improves the declared ace line; never inspect unrevealed moves/items/switch choice,FEATURE_TASK06_KANTO_MEGA_TRAINER,NEEDS_FINAL_CODEX_INTEGRATION,"If unlock/runtime is false, disable MEGA fail-closed, replace ITEM_KEY_HERACRONITE with ITEM_KEY_EXPERT_BELT (たつじんのおび), preserve the same species/moves/party order, and do not migrate the mechanic to another slot","Test unlock false/true, slot=6, species=SPECIES_KEY_HERACROSS, stone=ITEM_KEY_HERACRONITE, one activation only, switch/faint/loss/battle-end/save-reload cleanup",KANTO_DUNGEON_POKEMON_LEAGUE_BRUNOS_ROOMのKANTO_LEAGUE_BOSSでslot 6 ヘラクロスを明示的な唯一のメガ担当にし、通常時はたつじんのおびで同一6体・同一役割順を維持する
