region,map_code,map_name,progress_stage,recommended_level_range,evolution_chain_id,root_national_no,root_name,family,types,category,integration_mode,encounter_method,encounter_level,encounter_rate,condition,stage_policy,dual_region_role,rotation_group,hidden_ability_policy,duplicate_capture_policy,implementation_note
カントー,K33,タマムシ温室,認定章4前後,Lv.82～90,1,1,フシギダネ,フシギダネ → フシギソウ → フシギバナ,どく／くさ,御三家,ベガ既存系統を完全保持,ずつき／朝昼オーバーレイ,Lv.82～90,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R2,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,1,1,フシギダネ,フシギダネ → フシギソウ → フシギバナ,どく／くさ,御三家,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K03,3ばんどうろ,認定章1前後,Lv.71～75,2,4,ヒトカゲ,ヒトカゲ → リザード → リザードン,ひこう／ほのお,御三家,ベガ既存系統を完全保持,草むらオーバーレイ,Lv.71～75,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R1,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,2,4,ヒトカゲ,ヒトカゲ → リザード → リザードン,ひこう／ほのお,御三家,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K15,15ばんどうろ,認定章4～5,Lv.85～90,3,7,ゼニガメ,ゼニガメ → カメール → カメックス,みず,御三家,ベガ既存系統を完全保持,水上オーバーレイ,Lv.85～90,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,R4,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存条件,既存値,3,7,ゼニガメ,ゼニガメ → カメール → カメックス,みず,御三家,ベガ既存系統を完全保持,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存個体を保護。追加地域では基礎種または中間進化を希少配置,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,固定／既存,既存個体を変更しない。カントー側DexNavまたは特性パッチで隠れ特性を補完。,通常種は両地方で捕獲可能。,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
カントー,K26,トキワのもり,カントー序盤,Lv.70～76,4,10,キャタピー,キャタピー → トランセル → バタフリー,ひこう／むし,通常生態,外来生態レイヤーへ追加,ずつき／朝昼オーバーレイ,Lv.70～76,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R3,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T502,502ばんどうろ／すいどう,序盤A,Lv.3～6,4,10,キャタピー,キャタピー → トランセル → バタフリー,ひこう／むし,通常生態,外来生態レイヤーへ追加,ずつき／朝昼オーバーレイ,Lv.3～6,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R3,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
カントー,K26,トキワのもり,カントー序盤,Lv.70～76,5,13,ビードル,ビードル → コクーン → スピアー,どく／むし,通常生態,外来生態レイヤーへ追加,ずつき／朝昼オーバーレイ,Lv.70～76,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R2,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
トーホク,T504,504ばんどうろ／すいどう,序盤B,Lv.9～13,5,13,ビードル,ビードル → コクーン → スピアー,どく／むし,通常生態,外来生態レイヤーへ追加,草むらオーバーレイ,Lv.9～13,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,基礎種を通常配置。中間進化は高レベル地域のDexNav限定、最終進化は原則進化入手,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,R2,DexNav連鎖20以上または地方研究ランク2で隠れ特性判定を解禁。通常草むらでは標準特性のみ。,通常種は両地方で捕獲可能。進化後の通常野生化は段階解禁。,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
